RK	Player	Team	Pos	G	AB	R	H	2B	3B	HR	RBI	BB	SO	SB	CS	AVG▼	OBP	SLG	OPS
600	 Leake, M	CIN	P	37	68	9	12	5	0	2	5	0	34	0	0	.176	.188	.338	.527
600	 Lutz, D	CIN	1B	28	51	2	9	4	0	0	1	3	19	0	0	.176	.222	.255	.477
600	 Samardzija, J	OAK	P	17	34	3	6	3	0	0	3	0	10	0	0	.176	.167	.265	.431
600	 Stewart, I	LAA	3B	24	68	8	12	2	3	2	7	3	31	1	0	.176	.222	.382	.605
605	 Jackson, E	CHC	P	28	40	2	7	2	0	0	0	0	21	0	0	.175	.175	.225	.400
606	 Carp, M	TEX	1B	59	126	11	22	5	1	0	13	16	31	0	1	.175	.289	.230	.519
606	 Kershaw, C	LAD	P	26	63	5	11	0	1	0	3	4	23	1	0	.175	.235	.206	.442
608	 Cole, G	PIT	P	22	46	3	8	0	0	1	2	2	17	0	0	.174	.208	.239	.447
608	 Turner, J	CHC	P	24	23	1	4	2	0	0	0	1	12	0	0	.174	.208	.261	.469
610	 McLouth, N	WSH	LF	79	139	10	24	6	0	1	7	16	35	4	1	.173	.280	.237	.517
611	 Hoes, L	HOU	LF	55	122	12	21	5	0	3	11	10	31	0	0	.172	.230	.287	.517
612	 Bianchi, J	MIL	SS	29	70	4	12	1	0	0	6	3	17	0	0	.171	.203	.186	.388
612	 Cashner, A	SD	P	23	35	3	6	1	1	0	2	1	14	0	0	.171	.194	.257	.452
612	 Furcal, R	MIA	2B	9	35	4	6	0	1	0	2	2	7	0	0	.171	.216	.229	.445
615	 McDonald, J	LAA	3B	95	76	4	13	2	0	0	5	7	18	1	1	.171	.256	.197	.453
616	 Dobbs, G	WSH	1B	36	41	0	7	1	0	0	2	1	8	0	0	.171	.186	.195	.381
617	 Perez, J	SF	RF	61	100	13	17	7	0	1	3	5	25	0	1	.170	.224	.270	.494
618	 Marte, A	LAA	LF	44	106	8	18	5	1	2	9	6	34	1	0	.170	.221	.292	.514
619	 Baez, J	CHC	SS	52	213	25	36	6	0	9	20	15	95	5	1	.169	.227	.324	.551
620	 Adduci, J	TEX	RF	44	101	13	17	3	0	1	8	10	27	3	1	.168	.239	.228	.467
621	 Singleton, J	HOU	1B	95	310	42	52	13	0	13	44	50	134	2	3	.168	.285	.335	.620
622	 Bernadina, R	LAD	LF	53	66	5	11	3	0	1	9	10	19	2	1	.167	.304	.258	.561
622	 Burns, B	OAK	CF	13	6	4	1	0	0	0	0	0	0	3	1	.167	.167	.167	.333
622	 Casali, C	TB	C	30	72	10	12	3	0	0	3	8	23	0	0	.167	.268	.208	.477
622	 Gonzalez, A	DET	SS	9	30	4	5	0	1	0	2	2	4	0	0	.167	.219	.233	.452
622	 Ibanez, R	KC	LF	90	246	23	41	8	3	5	26	33	59	3	2	.167	.264	.285	.549
622	 Rodriguez, G	TEX	SS	7	12	2	2	0	0	0	1	1	5	0	0	.167	.231	.167	.397
622	 Ryan, B	NYY	SS	49	114	5	19	4	0	0	8	4	30	0	2	.167	.211	.202	.413
622	 Snyder, B	TEX	1B	10	30	3	5	1	0	2	3	4	10	0	0	.167	.265	.400	.665
622	 Walker, C	BAL	1B	6	18	1	3	1	0	1	1	1	9	0	0	.167	.211	.389	.599
622	 Williams, J	PHI	P	9	12	0	2	0	0	0	3	0	4	0	0	.167	.167	.167	.333
622	 Worth, D	DET	SS	18	42	5	7	1	0	0	5	2	12	0	1	.167	.217	.190	.408
633	 Garcia, L	CWS	2B	73	145	13	24	3	0	1	6	5	48	11	1	.166	.192	.207	.399
634	 Drew, S	NYY	2B	85	271	18	44	14	1	7	26	27	75	1	1	.162	.237	.299	.536
635	 Jimenez, L	MIL	3B	18	37	3	6	2	0	0	2	0	13	0	0	.162	.205	.216	.421
636	 Hicks, B	SF	2B	71	204	27	33	6	1	8	22	32	77	0	1	.162	.280	.319	.599
637	 Franklin, N	TB	SS	28	81	7	13	2	1	1	6	6	32	2	0	.160	.222	.247	.469
638	 Getz, C	TOR	2B	10	25	1	4	1	0	0	0	1	4	2	0	.160	.222	.200	.422
638	 Olt, M	CHC	3B	89	225	23	36	8	0	12	33	25	100	0	1	.160	.248	.356	.604
640	 Barton, D	OAK	1B	30	57	7	9	1	0	0	5	5	14	0	0	.158	.234	.175	.410
640	 Diaz, J	TOR	SS	23	38	3	6	1	0	0	4	3	14	1	0	.158	.256	.184	.440
640	 Gindl, C	MIL	RF	8	19	0	3	0	0	0	0	4	5	0	0	.158	.304	.158	.462
640	 Miley, W	ARI	P	31	57	3	9	0	0	0	1	3	14	0	0	.158	.200	.158	.358
644	 Leon, S	WSH	C	20	64	7	10	1	0	1	3	6	20	0	0	.156	.229	.219	.447
645	 Minor, M	ATL	P	22	45	4	7	1	0	1	4	1	16	0	0	.156	.174	.244	.418
646	 Gwynn Jr., T	PHI	CF	80	105	14	16	2	1	0	3	15	23	3	0	.152	.264	.190	.455
647	 Parrino, A	OAK	SS	21	46	4	7	3	0	1	3	3	14	0	0	.152	.216	.283	.498
648	 De La Rosa, J	COL	P	30	60	5	9	0	0	0	1	1	26	0	0	.150	.164	.150	.314
648	 Gomez, H	MIL	2B	15	20	2	3	1	0	0	1	1	9	0	0	.150	.190	.200	.390
648	 Maxwell, J	KC	CF	20	40	4	6	1	0	0	3	2	20	0	1	.150	.222	.175	.397
