RK	Player	Team	Pos	G	AB	R	H	2B	3B	HR	RBI	BB	SO	SB	CS	AVG▼	OBP	SLG	OPS
401	 Davis, I	PIT	1B	143	360	43	84	19	0	11	51	63	78	0	4	.233	.344	.378	.722
401	 Grossman, R	HOU	LF	103	360	42	84	14	2	6	37	55	105	9	3	.233	.337	.333	.670
401	 Herrera, J	BOS	2B	42	90	10	21	1	2	0	9	7	24	1	3	.233	.307	.289	.596
401	 Kottaras, G	TOR	C	18	30	4	7	0	0	3	5	6	16	0	0	.233	.351	.533	.885
401	 Medica, T	SD	1B	102	240	31	56	11	2	9	27	14	75	6	1	.233	.286	.408	.694
406	 Beltran, C	NYY	RF	109	403	46	94	23	0	15	49	37	80	3	1	.233	.301	.402	.703
407	 Nelson, C	SD	3B	27	73	5	17	3	0	0	7	7	14	1	2	.233	.296	.274	.570
408	 Figueroa, C	TB	2B	23	43	6	10	2	1	0	6	4	4	0	0	.233	.286	.326	.611
408	 Overbay, L	MIL	1B	121	258	24	60	14	0	4	35	36	60	2	0	.233	.328	.333	.661
410	 Cabrera, E	SD	SS	90	357	36	83	13	1	3	20	20	86	18	8	.232	.272	.300	.572
411	 McCann, B	NYY	C	140	495	57	115	15	1	23	75	32	77	0	0	.232	.286	.406	.692
412	 Wheeler, R	LAA	3B	31	56	6	13	2	0	2	13	5	12	0	0	.232	.281	.375	.656
412	 Wood, T	CHC	P	38	56	9	13	2	0	3	10	1	17	0	0	.232	.271	.429	.700
414	 Reimold, N	ARI	RF	29	69	5	16	5	0	3	13	6	32	1	0	.232	.282	.435	.717
415	 Valaika, C	CHC	1B	44	121	10	28	4	0	3	13	7	35	1	0	.231	.282	.339	.621
416	 Viciedo, D	CWS	RF	145	523	65	121	22	3	21	58	32	122	0	1	.231	.281	.405	.686
417	 Arcia, O	MIN	LF	103	372	46	86	16	3	20	57	31	127	1	2	.231	.300	.452	.752
418	 Alvarez, P	PIT	1B	122	398	46	92	13	1	18	56	45	113	8	3	.231	.312	.405	.717
419	 Bourjos, P	STL	CF	119	264	32	61	9	5	4	24	20	78	9	3	.231	.294	.348	.643
420	 Santana, C	CLE	1B	152	541	68	125	25	0	27	85	113	124	5	2	.231	.365	.427	.792
421	 Holaday, B	DET	C	62	156	14	36	5	1	0	15	8	37	1	1	.231	.266	.276	.542
421	 Moore, T	WSH	1B	42	91	8	21	2	0	4	14	7	29	0	0	.231	.300	.385	.685
421	 Pompey, D	TOR	CF	17	39	5	9	1	2	1	4	4	12	1	0	.231	.302	.436	.738
421	 Romine, A	NYY	C	7	13	2	3	1	0	0	1	0	4	0	0	.231	.231	.308	.538
425	 Springer, G	HOU	RF	78	295	45	68	8	1	20	51	39	114	5	2	.231	.336	.468	.804
426	 Almonte, A	SD	CF	59	204	19	47	10	1	3	15	12	60	4	3	.230	.275	.333	.609
427	 Denorfia, C	SEA	RF	121	330	36	76	12	4	3	21	25	70	9	3	.230	.284	.318	.602
428	 Lamb, J	ARI	3B	37	126	15	29	4	1	4	11	6	37	1	1	.230	.263	.373	.636
429	 Sierra, M	KC	RF	96	161	22	37	8	2	2	9	8	43	3	1	.230	.265	.342	.606
430	 Colabello, C	MIN	1B	59	205	17	47	13	0	6	39	14	66	0	2	.229	.282	.380	.662
431	 Sanchez, G	PIT	1B	123	262	31	60	18	1	7	33	23	58	2	0	.229	.293	.385	.679
432	 Young Jr., E	NYM	LF	100	280	48	64	10	5	1	17	24	60	30	6	.229	.299	.311	.610
433	 Dietrich, D	MIA	2B	49	158	31	36	6	2	5	17	13	38	1	0	.228	.326	.386	.712
434	 Romine, A	DET	3B	94	251	30	57	6	0	2	12	18	60	12	2	.227	.279	.275	.554
435	 Granderson, C	NYM	RF	155	564	73	128	27	2	20	66	79	141	8	2	.227	.326	.388	.714
436	 Carter, C	HOU	1B	145	507	68	115	21	1	37	88	56	182	5	2	.227	.308	.491	.799
437	 Beckham, G	LAA	2B	127	446	53	101	27	0	9	44	22	81	3	0	.226	.271	.348	.618
438	 Gose, A	TOR	CF	94	239	31	54	8	1	2	13	25	74	15	5	.226	.311	.293	.604
439	 Gregorius, D	ARI	SS	80	270	35	61	9	5	6	27	22	52	3	0	.226	.290	.363	.653
440	 McBride, M	COL	1B	21	31	6	7	2	0	2	6	2	12	0	0	.226	.294	.484	.778
440	 Szczur, M	CHC	CF	33	62	6	14	2	0	2	5	4	11	0	0	.226	.273	.355	.628
442	 Grandal, Y	SD	C	128	377	47	85	19	1	15	49	58	115	3	0	.225	.327	.401	.728
443	 Rasmus, C	TOR	CF	104	346	45	78	21	1	18	40	29	124	4	0	.225	.287	.448	.735
444	 Gosewisch, T	ARI	C	41	129	6	29	8	0	1	7	3	24	0	0	.225	.242	.310	.553
445	 Buck, J	LAA	C	32	89	9	20	2	0	1	6	8	26	0	0	.225	.289	.281	.570
445	 Clevenger, S	BAL	C	35	89	8	20	8	1	0	8	8	19	0	0	.225	.289	.337	.626
447	 Dickerson, C	CLE	LF	41	98	12	22	4	0	2	6	12	38	3	0	.224	.309	.327	.636
448	 Kubel, J	MIN	LF	45	156	12	35	6	1	1	13	19	59	1	0	.224	.313	.295	.607
449	 Venable, W	SD	CF	146	406	47	91	13	2	8	33	33	107	11	6	.224	.288	.325	.613
450	 Sogard, E	OAK	2B	117	291	38	65	10	0	1	22	31	37	11	4	.223	.298	.268	.567
