RK	Player	Team	Pos	G	AB	R	H	2B	3B	HR	RBI	BB	SO	SB	CS	AVG▼	OBP	SLG	OPS
1	 Carlyle, B	NYM	P	27	1	0	1	0	0	0	0	0	0	0	0	1.000	1.000	1.000	2.000
1	 Gomez, J	PIT	P	41	1	0	1	0	0	0	0	0	0	0	0	1.000	1.000	1.000	2.000
1	 Schlitter, B	CHC	P	57	1	0	1	0	0	0	0	0	0	0	0	1.000	1.000	1.000	2.000
1	 Schlosser, G	ATL	P	14	1	0	1	0	0	0	0	0	0	0	0	1.000	1.000	1.000	2.000
5	 Familia, J	NYM	P	71	3	0	2	0	0	0	1	0	0	0	0	.667	.667	.667	1.333
6	 Rivero, C	BOS	3B	4	7	1	4	2	0	1	3	1	0	0	0	.571	.625	1.286	1.911
7	 Buchholz, C	BOS	P	2	2	0	1	0	0	0	0	0	0	0	0	.500	.500	.500	1.000
7	 Chafin, A	ARI	P	1	2	0	1	0	0	0	1	0	1	0	0	.500	.500	.500	1.000
7	 Hutchison, D	TOR	P	4	4	0	2	0	0	0	0	0	2	0	0	.500	.500	.500	1.000
7	 McAllister, Z	CLE	P	1	2	0	1	0	0	0	0	0	0	0	0	.500	.500	.500	1.000
7	 Ray, R	DET	P	1	2	0	1	0	0	0	0	0	0	0	0	.500	.500	.500	1.000
7	 Tepesch, N	TEX	P	2	2	0	1	0	0	0	0	0	0	0	0	.500	.500	.500	1.000
7	 Villarreal, P	CIN	P	10	2	0	1	0	0	0	0	0	1	0	0	.500	.500	.500	1.000
14	 Brown, G	SF	CF	7	7	1	3	0	0	0	1	0	0	0	0	.429	.429	.429	.857
15	 Lewis, C	TEX	P	2	5	0	2	0	0	0	1	0	2	0	0	.400	.400	.400	.800
15	 Maness, S	STL	P	69	5	0	2	0	0	0	0	0	0	0	0	.400	.400	.400	.800
17	 Moya, S	DET	RF	11	8	2	3	0	0	0	0	0	2	0	0	.375	.375	.375	.750
18	 Kouzmanoff, K	TEX	3B	13	47	8	17	6	0	2	10	2	7	0	0	.362	.412	.617	1.029
19	 Stassi, M	HOU	C	7	20	2	7	2	0	0	4	0	6	0	0	.350	.350	.450	.800
20	 Smolinski, J	TEX	LF	24	86	12	30	5	0	3	12	3	24	0	0	.349	.391	.512	.903
21	 Ynoa, R	COL	3B	19	67	5	23	6	1	0	13	4	9	0	0	.343	.380	.463	.843
22	 Morgan, N	CLE	CF	15	41	8	14	1	0	1	6	7	6	3	0	.341	.429	.439	.868
23	 Altuve, J	HOU	2B	158	660	85	225	47	3	7	59	36	53	56	9	.341	.377	.453	.830
24	 Turner, J	LAD	3B	109	288	46	98	21	1	7	43	28	58	6	1	.340	.404	.493	.897
25	 Tulowitzki, T	COL	SS	91	315	71	107	18	1	21	52	50	57	1	1	.340	.432	.603	1.035
26	 Martinez, V	DET	DH	151	561	87	188	33	0	32	103	70	42	3	2	.335	.409	.565	.974
27	 Castillo, R	BOS	CF	10	36	6	12	1	0	2	6	3	6	3	0	.333	.400	.528	.928
27	 Chacin, J	COL	P	10	15	2	5	1	0	0	0	1	4	0	0	.333	.375	.400	.775
27	 Colon, C	KC	2B	21	45	8	15	5	1	0	6	3	4	2	0	.333	.375	.489	.864
27	 Corcino, D	CIN	P	5	3	0	1	0	0	0	0	0	0	0	0	.333	.333	.333	.667
27	 Danks, J	CWS	P	1	3	0	1	0	0	0	0	0	1	0	0	.333	.333	.333	.667
27	 Hill, T	WSH	P	3	3	0	1	0	0	0	0	0	0	0	0	.333	.333	.333	.667
27	 Huff, D	NYY	P	16	3	1	1	0	0	0	0	0	2	0	0	.333	.333	.333	.667
27	 Lane, J	SD	P	3	3	0	1	0	0	0	0	0	0	0	0	.333	.333	.333	.667
27	 Norris, B	BAL	P	3	3	0	1	0	0	0	1	0	1	0	0	.333	.333	.333	.667
27	 Penny, B	MIA	P	8	6	1	2	1	0	0	0	0	3	0	0	.333	.333	.500	.833
27	 Pirela, J	NYY	2B	7	24	6	8	1	2	0	3	1	4	0	0	.333	.360	.542	.902
27	 Polanco, J	MIN	SS	5	6	2	2	1	1	0	3	2	2	0	0	.333	.500	.833	1.333
27	 Robinson, C	LAD	1B	9	9	3	3	0	0	0	2	1	1	0	0	.333	.400	.333	.733
27	 Verlander, J	DET	P	3	6	1	2	0	0	0	0	0	0	0	0	.333	.333	.333	.667
27	 Watson, T	PIT	P	75	3	0	1	0	0	0	0	0	2	0	0	.333	.333	.333	.667
42	 Cuddyer, M	COL	RF	49	190	32	63	15	1	10	31	14	30	3	0	.332	.376	.579	.955
43	 Brantley, M	CLE	LF	156	611	94	200	45	2	20	97	52	56	23	1	.327	.385	.506	.890
44	 Beltre, A	TEX	3B	148	549	79	178	33	1	19	77	57	74	1	1	.324	.388	.492	.879
45	 Lind, A	TOR	1B	96	290	38	93	24	2	6	40	28	48	0	0	.321	.381	.479	.860
46	 Morneau, J	COL	1B	135	502	62	160	32	3	17	82	34	60	0	3	.319	.364	.496	.860
47	 Santana, D	MIN	SS	101	405	70	129	27	7	7	40	19	98	20	4	.319	.353	.472	.824
48	 Paulsen, B	COL	1B	31	63	8	20	4	0	4	10	2	19	0	0	.317	.348	.571	.920
49	 Abreu, J	CWS	1B	145	556	80	176	35	2	36	107	51	131	3	1	.317	.383	.581	.964
50	 McKenry, M	COL	C	57	168	23	53	9	0	8	22	22	42	0	3	.315	.398	.512	.910
