RK	Player	Team	Pos	G	AB	R	H	2B	3B	HR	RBI	BB	SO	SB	CS	AVG▼	OBP	SLG	OPS
301	 De Jesus, I	CIN	SS	104	221	21	56	10	0	1	20	17	51	3	1	.253	.311	.312	.623
302	 Alonso, Y	OAK	1B	156	482	52	122	34	0	7	56	45	74	3	1	.253	.316	.367	.683
303	 Saunders, M	TOR	LF	140	490	70	124	32	3	24	57	59	157	1	2	.253	.338	.478	.815
304	 Parra, G	COL	LF	102	368	45	93	27	3	7	39	9	73	6	4	.253	.271	.399	.671
305	 Headley, C	NYY	3B	140	467	58	118	18	1	14	51	51	118	8	2	.253	.331	.385	.716
306	 Blanco, A	PHI	2B	90	190	26	48	15	1	4	21	11	41	2	3	.253	.316	.405	.721
307	 Cozart, Z	CIN	SS	121	464	67	117	28	2	16	50	37	84	4	1	.252	.308	.425	.732
308	 Utley, C	LAD	2B	138	512	79	129	26	3	14	52	40	115	2	2	.252	.319	.396	.716
309	 Marte, J	LAA	1B	88	258	38	65	14	0	15	44	18	59	2	2	.252	.310	.481	.790
310	 Rupp, C	PHI	C	105	389	36	98	26	1	16	54	24	114	1	0	.252	.303	.447	.750
311	 Peralta, D	ARI	RF	48	171	23	43	9	5	4	15	8	42	2	0	.251	.295	.433	.728
312	 Vogt, S	OAK	C	137	490	54	123	30	2	14	56	35	83	0	0	.251	.305	.406	.711
313	 Bourjos, P	PHI	RF	123	355	40	89	20	7	5	23	17	91	6	4	.251	.292	.389	.681
314	 Gattis, E	HOU	C	128	447	58	112	19	0	32	72	43	127	2	1	.251	.319	.508	.826
315	 Bruce, J	NYM	RF	147	539	74	135	27	6	33	99	44	126	4	2	.250	.309	.506	.815
316	 Brault, S	PIT	P	8	8	1	2	0	0	0	0	0	0	0	0	.250	.250	.250	.500
316	 Castillo, R	BOS	LF	9	8	4	2	1	0	0	0	0	3	0	0	.250	.250	.375	.625
316	 Cravy, T	MIL	P	17	4	1	1	0	0	1	1	0	1	0	0	.250	.250	1.000	1.250
316	 Fernandez, J	MIA	P	28	52	3	13	2	0	0	6	1	13	0	0	.250	.264	.288	.553
316	 Giolito, L	WSH	P	6	4	1	1	0	0	0	0	0	1	0	0	.250	.250	.250	.500
316	 Heredia, G	SEA	RF	45	92	12	23	3	0	1	12	12	15	1	1	.250	.349	.315	.664
316	 Kluber, C	CLE	P	3	4	1	1	1	0	0	0	0	3	0	0	.250	.250	.500	.750
316	 Odorizzi, J	TB	P	2	4	0	1	0	0	0	1	0	1	0	0	.250	.250	.250	.500
316	 Refsnyder, R	NYY	3B	58	152	25	38	9	0	0	12	18	30	2	1	.250	.328	.309	.637
316	 Shaffer, R	TB	3B	20	48	5	12	6	0	1	4	5	18	0	1	.250	.315	.438	.752
316	 Wood, A	LAD	P	14	16	2	4	0	0	0	2	1	9	0	0	.250	.294	.250	.544
316	 Zimmermann, J	DET	P	3	4	0	1	0	0	0	0	0	2	0	0	.250	.250	.250	.500
328	 Alvarez, P	BAL	DH	109	337	43	84	20	0	22	49	37	97	1	0	.249	.322	.504	.826
329	 Adams, M	STL	1B	118	297	37	74	18	0	16	54	25	81	0	1	.249	.309	.471	.780
330	 Davis, R	CLE	CF	134	454	74	113	23	2	12	48	33	106	43	6	.249	.306	.388	.693
331	 Smith, S	SEA	RF	137	378	62	94	15	0	16	63	48	89	0	0	.249	.342	.415	.758
332	 Lamb, J	ARI	3B	151	523	81	130	31	9	29	91	64	154	6	1	.249	.332	.509	.840
333	 Carrera, E	TOR	RF	110	270	47	67	9	1	6	23	27	70	7	4	.248	.323	.356	.679
334	 Lawrie, B	CWS	2B	94	351	35	87	22	0	12	36	30	109	7	3	.248	.310	.413	.723
335	 Suarez, E	CIN	3B	159	565	78	140	25	2	21	70	51	155	11	5	.248	.317	.411	.728
336	 Beckham, T	TB	SS	64	198	25	49	12	5	5	16	14	67	2	1	.247	.300	.434	.735
337	 Rojas, M	MIA	2B	123	194	27	48	12	0	1	14	11	27	2	1	.247	.288	.325	.613
338	 Martin, L	SEA	CF	143	518	72	128	17	3	15	47	44	149	24	6	.247	.306	.378	.684
339	 Perez, S	KC	C	139	514	57	127	28	2	22	64	22	119	0	0	.247	.288	.438	.725
340	 D'Arnaud, T	NYM	C	75	251	27	62	7	0	4	15	19	50	0	0	.247	.307	.323	.629
341	 Davis, K	OAK	LF	150	555	85	137	24	2	42	102	42	166	1	2	.247	.307	.524	.831
342	 Johnson, K	NYM	3B	131	304	25	75	14	0	10	34	25	65	4	0	.247	.306	.391	.698
343	 Souza Jr., S	TB	RF	120	430	58	106	17	1	17	49	31	159	7	6	.247	.303	.409	.713
344	 Pederson, J	LAD	CF	137	406	64	100	26	0	25	68	63	130	6	2	.246	.352	.495	.847
345	 Hammel, J	CHC	P	35	65	6	16	3	0	0	7	1	24	0	0	.246	.258	.292	.550
346	 Holliday, M	STL	LF	110	382	48	94	20	1	20	62	35	71	0	0	.246	.322	.461	.782
347	 Gutierrez, F	SEA	RF	98	248	33	61	9	0	14	39	29	85	1	0	.246	.329	.452	.780
348	 Kiermaier, K	TB	CF	105	366	55	90	20	2	12	37	40	74	21	3	.246	.331	.410	.741
349	 Cabrera, R	CIN	C	61	171	11	42	10	0	3	23	8	30	1	1	.246	.279	.357	.635
349	 Upton, J	DET	LF	153	570	81	140	28	2	31	87	50	179	9	4	.246	.310	.465	.775
