RK	Player	Team	Pos	G	AB	R	H	2B	3B	HR	RBI	BB	SO	SB	CS	AVG▼	OBP	SLG	OPS
450	 Freeman, M	SEA	1B	21	22	1	5	1	0	0	1	2	7	0	0	.227	.292	.273	.564
450	 Solano, D	NYY	3B	9	22	5	5	2	0	1	2	1	3	0	0	.227	.261	.455	.715
450	 Waldrop, K	CIN	RF	15	22	1	5	1	0	0	1	1	5	0	1	.227	.261	.273	.534
454	 Maile, L	TB	C	42	119	10	27	7	0	3	15	4	36	0	0	.227	.252	.361	.613
455	 Vazquez, C	BOS	C	57	172	21	39	9	1	1	12	10	39	0	0	.227	.277	.308	.585
456	 Pham, T	STL	CF	78	159	26	36	7	0	9	17	20	71	2	2	.226	.324	.440	.764
457	 Wright, D	NYM	3B	37	137	18	31	8	0	7	14	26	55	3	2	.226	.350	.438	.788
458	 Hanson, A	PIT	2B	27	31	5	7	1	0	0	1	2	5	2	1	.226	.273	.258	.531
459	 Van Slyke, S	LAD	LF	52	102	10	23	6	0	1	7	5	24	1	2	.225	.292	.314	.606
460	 Frazier, T	CWS	3B	158	590	89	133	21	0	40	98	64	163	15	5	.225	.302	.464	.767
461	 Moss, B	STL	1B	128	413	66	93	19	2	28	67	39	141	1	0	.225	.300	.484	.784
462	 Stubbs, D	BAL	CF	59	80	13	18	0	0	3	7	12	38	9	1	.225	.330	.338	.667
463	 Buxton, B	MIN	CF	92	298	44	67	19	6	10	38	23	118	10	2	.225	.284	.430	.714
464	 Reynolds, M	NYM	3B	47	89	11	20	8	0	3	13	4	34	0	1	.225	.266	.416	.682
465	 Thompson, T	LAD	LF	80	236	31	53	11	0	13	32	26	66	5	1	.225	.302	.436	.738
466	 Chirinos, R	TEX	C	57	147	21	33	11	0	9	20	15	44	0	1	.224	.314	.483	.797
467	 Blanco, G	SF	RF	106	241	28	54	10	4	1	18	29	51	6	3	.224	.309	.311	.620
468	 Williamson, M	SF	RF	54	112	14	25	3	0	6	15	13	35	0	1	.223	.315	.411	.726
469	 Nava, D	KC	LF	54	130	11	29	6	0	1	13	10	30	0	0	.223	.297	.292	.590
470	 Carter, C	MIL	1B	160	549	84	122	27	1	41	94	76	206	3	1	.222	.321	.499	.821
470	 Johnson, C	MIA	1B	113	243	20	54	11	0	5	24	19	78	0	0	.222	.281	.329	.611
470	 Norris, B	LAD	P	33	27	2	6	0	1	0	1	3	7	0	0	.222	.323	.296	.619
473	 Reimold, N	BAL	LF	104	203	25	45	9	1	6	15	22	62	1	2	.222	.300	.365	.664
474	 Rivera, R	NYM	C	65	185	12	41	4	0	6	26	16	54	0	0	.222	.291	.341	.632
475	 Paredes, J	PHI	RF	83	158	15	35	8	0	5	19	7	48	0	1	.222	.253	.367	.620
476	 Rollins, J	CWS	SS	41	149	25	33	8	1	2	8	16	33	5	2	.221	.295	.329	.624
477	 McCann, J	DET	C	105	344	31	76	9	1	12	48	23	109	0	1	.221	.272	.358	.629
478	 Davis, C	BAL	1B	157	566	99	125	21	0	38	84	88	219	1	0	.221	.332	.459	.792
479	 Clevenger, S	SEA	C	22	68	7	15	3	0	1	7	8	14	0	0	.221	.303	.309	.611
480	 Conforto, M	NYM	LF	109	304	38	67	21	1	12	42	36	89	2	1	.220	.310	.414	.725
481	 Gordon, A	KC	LF	128	445	62	98	16	2	17	40	52	148	8	1	.220	.312	.380	.692
482	 Barnes, B	COL	LF	48	100	10	22	6	2	0	8	3	30	1	2	.220	.250	.320	.570
483	 Raburn, R	COL	LF	113	223	30	49	10	2	9	30	28	80	0	0	.220	.309	.404	.712
484	 Arcia, O	MIL	SS	55	201	21	44	10	3	4	17	15	47	8	0	.219	.273	.358	.631
485	 Pierzynski, A	ATL	C	81	247	15	54	15	0	2	23	6	29	1	0	.219	.243	.304	.547
486	 Ahmed, N	ARI	SS	90	284	26	62	9	1	4	20	15	58	5	2	.218	.265	.299	.564
487	 Elmore, J	MIL	LF	59	78	7	17	2	0	0	4	17	17	2	3	.218	.371	.244	.615
488	 Zimmerman, R	WSH	1B	115	427	60	93	18	1	15	46	29	104	4	1	.218	.272	.370	.642
489	 Adames, C	COL	SS	121	225	25	49	7	3	2	17	24	47	2	3	.218	.304	.302	.607
490	 Hoying, J	TEX	CF	38	46	8	10	2	0	0	5	3	8	1	0	.217	.265	.261	.526
490	 Jackson, E	SD	P	23	23	2	5	1	0	0	2	3	11	1	0	.217	.308	.261	.569
490	 Paulsen, B	COL	1B	39	92	8	20	5	0	1	11	5	27	0	0	.217	.258	.304	.562
490	 Schimpf, R	SD	2B	89	276	48	60	17	5	20	51	42	105	1	1	.217	.336	.533	.869
490	 Smoak, J	TOR	1B	126	299	33	65	10	0	14	34	40	112	1	0	.217	.314	.391	.705
495	 Revere, B	WSH	CF	103	350	44	76	9	7	2	24	18	34	14	5	.217	.260	.300	.560
496	 Hicks, A	NYY	RF	123	327	32	71	13	1	8	31	30	68	3	4	.217	.281	.336	.617
497	 White, T	HOU	1B	85	249	24	54	16	0	8	28	23	65	1	0	.217	.286	.378	.664
498	 Kemp, T	HOU	LF	59	120	15	26	4	3	1	7	14	27	2	1	.217	.296	.325	.621
499	 Flaherty, R	BAL	3B	74	157	16	34	7	0	3	15	17	48	2	0	.217	.291	.318	.610
500	 Ellis, A	PHI	C	64	171	11	37	8	0	2	22	19	31	2	1	.216	.301	.298	.599
