 Orlando, P	KC	RF	128	457	52	138	24	4	5	43	13	105	14	3	.302	.329	.405	.734
 Kim, H	BAL	LF	95	305	36	92	16	1	6	22	36	51	1	3	.302	.382	.420	.801
 Frazier, A	PIT	2B	66	146	21	44	8	1	2	11	12	26	4	1	.301	.356	.411	.767
 Lindor, F	CLE	SS	158	604	99	182	30	3	15	78	57	88	19	5	.301	.358	.435	.794
 Beltre, A	TEX	3B	153	583	89	175	31	1	32	104	48	66	1	1	.300	.358	.521	.879
 Travis, D	TOR	2B	101	410	54	123	28	1	11	50	20	87	4	1	.300	.332	.454	.785
 Diaz, A	STL	SS	111	404	71	121	28	3	17	65	41	60	4	4	.300	.369	.510	.879
 Pena, R	SF	2B	30	87	9	26	6	1	1	10	2	16	0	0	.299	.330	.425	.755
 Culberson, C	LAD	SS	34	67	6	20	3	0	1	7	1	13	1	0	.299	.309	.388	.697
 Sanchez, G	NYY	C	53	201	34	60	12	0	20	42	24	57	1	0	.299	.376	.657	1.032
 Gonzalez, C	COL	RF	150	584	87	174	42	2	25	100	46	129	2	2	.298	.350	.505	.855
 Cano, R	SEA	2B	161	655	107	195	33	2	39	103	47	100	0	1	.298	.350	.533	.882
 Yelich, C	MIA	LF	155	578	78	172	38	3	21	98	72	138	9	4	.298	.376	.483	.859
 Goldschmidt, P	ARI	1B	158	579	106	172	33	3	24	95	110	150	32	5	.297	.411	.489	.899
 Williams, M	NYY	CF	12	27	4	8	1	0	0	2	1	12	0	0	.296	.321	.333	.655
 Cabrera, M	CWS	LF	151	591	70	175	42	5	14	86	47	69	2	0	.296	.345	.455	.800
 Naquin, T	CLE	CF	116	321	52	95	18	5	14	43	36	112	6	3	.296	.372	.514	.886
 Beltran, C	TEX	DH	151	552	73	163	33	0	29	93	35	101	1	0	.295	.337	.513	.850
 Benintendi, A	BOS	LF	34	105	16	31	11	1	2	14	10	25	1	0	.295	.359	.476	.835
 Arenado, N	COL	3B	160	618	116	182	35	6	41	133	68	103	2	3	.294	.362	.570	.932
 Bogaerts, X	BOS	SS	157	652	115	192	34	1	21	89	58	123	13	4	.294	.356	.446	.802
 Hernandez, C	PHI	2B	155	547	67	161	14	11	6	39	66	116	17	13	.294	.371	.393	.764
 Hernandez, M	BOS	SS	40	51	11	15	1	0	1	5	5	10	1	0	.294	.357	.373	.730
 Machado, M	BAL	3B	157	640	105	188	40	1	37	96	48	120	0	3	.294	.343	.533	.876
 Abreu, J	CWS	1B	159	624	67	183	32	1	25	100	47	125	0	2	.293	.353	.468	.820
 Tomlinson, K	SF	2B	52	106	13	31	4	0	0	6	12	18	5	1	.292	.370	.330	.700
 Bryant, K	CHC	3B	155	603	121	176	35	3	39	102	75	154	8	5	.292	.385	.554	.939
 Lucroy, J	TEX	C	142	490	67	143	24	3	24	81	47	100	5	0	.292	.355	.500	.855
 Andino, R	MIA	2B	13	24	2	7	0	0	0	1	0	4	0	0	.292	.292	.292	.583
 Rizzo, A	CHC	1B	155	583	94	170	43	4	32	109	74	108	3	5	.292	.385	.544	.928
 Inciarte, E	ATL	CF	131	522	85	152	24	7	3	29	45	68	16	7	.291	.351	.381	.732
 Jay, J	SD	CF	90	347	49	101	26	1	2	26	19	78	2	0	.291	.339	.389	.728
 Phillips, B	CIN	2B	141	550	74	160	34	1	11	64	18	68	14	8	.291	.320	.416	.736
 Suzuki, I	MIA	RF	143	327	48	95	15	5	1	22	30	42	10	2	.291	.354	.376	.730
 Martinez, V	DET	DH	154	553	65	160	22	0	27	86	50	90	0	0	.289	.351	.476	.826
 Pence, H	SF	RF	106	395	58	114	23	1	13	57	43	95	1	1	.289	.357	.451	.808
 Kinsler, I	DET	2B	153	618	117	178	29	4	28	83	45	115	14	6	.288	.348	.484	.831
 Pearce, S	BAL	LF	85	264	35	76	13	1	13	35	34	54	0	3	.288	.374	.492	.867
 Posey, B	SF	C	146	539	82	155	33	2	14	80	64	68	6	1	.288	.362	.434	.796
 Nunez, E	SF	3B	141	553	73	159	24	4	16	67	29	88	40	10	.288	.325	.432	.758
 Cain, L	KC	CF	103	397	56	114	19	1	9	56	31	84	14	5	.287	.339	.408	.747
 Cruz, N	SEA	DH	155	589	96	169	27	1	43	105	62	159	2	0	.287	.360	.555	.915
 Valencia, D	OAK	3B	130	471	72	135	22	1	17	51	41	115	1	1	.287	.346	.446	.792
 Herrera, O	PHI	CF	159	583	87	167	21	6	15	49	63	134	25	7	.286	.361	.420	.781
 Solarte, Y	SD	3B	109	405	55	116	26	1	15	71	30	63	1	1	.286	.341	.467	.808
 Ramirez, H	BOS	1B	147	549	81	157	28	1	30	111	60	120	9	3	.286	.361	.505	.866
 Chisenhall, L	CLE	RF	126	385	43	110	25	5	8	57	23	70	6	0	.286	.328	.439	.767
 Goodwin, B	WSH	CF	22	42	1	12	4	1	0	5	2	14	0	0	.286	.318	.429	.747
 Graterol, J	LAA	C	9	14	2	4	2	0	0	3	0	3	0	0	.286	.286	.429	.714
 Kalish, R	CHC	LF	7	7	1	2	0	0	0	2	1	0	0	0	.286	.444	.286	.730
 Ruiz, R	ATL	3B	5	7	1	2	0	1	0	2	0	2	1	0	.286	.286	.571	.857
 Villar, J	MIL	SS	156	589	92	168	38	3	19	63	79	174	62	18	.285	.369	.457	.826
 Gonzalez, A	LAD	1B	156	568	69	162	31	0	18	90	55	117	0	2	.285	.349	.435	.784
 Desmond, I	TEX	CF	156	625	107	178	29	3	22	86	44	160	21	6	.285	.335	.446	.782
 Castellanos, N	DET	3B	110	411	54	117	25	4	18	58	28	111	1	1	.285	.331	.496	.827
 Butera, D	KC	C	55	123	18	35	10	1	4	16	8	36	0	0	.285	.328	.480	.808
 Eaton, A	CWS	RF	157	619	91	176	29	9	14	59	63	115	14	5	.284	.362	.428	.790
 Donaldson, J	TOR	3B	155	577	122	164	32	5	37	99	109	119	7	1	.284	.404	.549	.953
 Butler, B	NYY	DH	97	250	27	71	18	0	5	35	21	42	0	0	.284	.336	.416	.752
 Herrmann, C	ARI	C	56	148	21	42	5	4	6	28	16	44	4	0	.284	.352	.493	.845
 Harrison, J	PIT	2B	131	487	57	138	25	7	4	59	18	76	19	4	.283	.311	.388	.699
