RK	Player	Team	Pos	G	AB	R	H	2B	3B	HR	RBI	BB	SO	SB	CS	AVG▼	OBP	SLG	OPS
351	 Dickerson, C	TB	DH	148	510	57	125	36	3	24	70	33	134	0	2	.245	.293	.469	.761
351	 Petit, G	LAA	2B	89	204	21	50	13	1	2	17	15	51	1	1	.245	.299	.348	.647
353	 Jankowski, T	SD	CF	131	335	53	82	13	2	2	12	42	100	30	12	.245	.332	.313	.646
354	 D'Arnaud, C	ATL	SS	84	233	24	57	14	2	1	21	23	50	9	3	.245	.317	.335	.652
355	 Garcia, A	CWS	DH	120	413	59	101	18	2	12	51	34	115	4	4	.245	.307	.385	.692
356	 Sardinas, L	SD	SS	66	180	25	44	6	1	4	18	12	48	4	2	.244	.295	.356	.651
357	 Pollock, A	ARI	CF	12	41	9	10	0	0	2	4	5	8	4	0	.244	.326	.390	.716
357	 Ross, J	WSH	P	22	41	2	10	2	0	0	1	3	15	0	0	.244	.295	.293	.588
359	 Werth, J	WSH	LF	143	525	84	128	28	0	21	69	71	139	5	1	.244	.335	.417	.752
360	 Wieters, M	BAL	C	124	423	48	103	17	1	17	66	32	85	1	0	.243	.302	.409	.711
361	 Aybar, E	DET	SS	126	415	34	101	19	2	3	34	31	70	3	5	.243	.303	.320	.623
362	 Margot, M	SD	CF	10	37	4	9	4	1	0	3	0	7	2	0	.243	.243	.405	.649
363	 Harper, B	WSH	RF	147	506	84	123	24	2	24	86	108	117	21	10	.243	.373	.441	.814
364	 Miller, B	TB	1B	152	548	73	133	29	6	30	81	47	149	6	4	.243	.304	.482	.786
365	 Gyorko, J	STL	2B	128	400	58	97	9	1	30	59	37	96	0	0	.243	.306	.495	.801
366	 Joyce, M	PIT	RF	140	231	45	56	10	1	13	42	59	67	1	1	.242	.403	.463	.866
366	 McCann, B	NYY	C	130	429	56	104	13	0	20	58	54	99	1	0	.242	.335	.413	.748
366	 Romine, A	NYY	C	62	165	17	40	11	0	4	26	7	31	1	0	.242	.269	.382	.650
369	 Shaw, T	BOS	3B	145	480	63	116	34	2	16	71	43	133	5	1	.242	.306	.421	.726
370	 Choo, S	TEX	RF	48	178	27	43	7	0	7	17	25	46	6	3	.242	.357	.399	.756
371	 Broxton, K	MIL	CF	75	207	28	50	10	1	9	19	36	88	23	4	.242	.354	.430	.784
372	 Galvis, F	PHI	SS	158	584	61	141	26	3	20	67	25	136	17	6	.241	.274	.399	.673
373	 Kelly, T	NYM	LF	39	58	9	14	1	1	1	7	11	9	0	0	.241	.352	.345	.697
374	 Austin, T	NYY	1B	31	83	7	20	3	0	5	12	7	36	1	0	.241	.300	.458	.758
375	 Duvall, A	CIN	LF	150	552	85	133	31	6	33	103	41	164	6	5	.241	.297	.498	.795
376	 Ramirez, A	TB	SS	145	478	38	115	22	2	6	48	21	63	8	9	.241	.277	.333	.610
377	 Moustakas, M	KC	3B	27	104	12	25	6	0	7	13	9	13	0	1	.240	.301	.500	.801
378	 Santana, D	MIN	CF	75	233	29	56	10	2	2	14	12	55	12	9	.240	.279	.326	.606
379	 Hood, D	MIA	LF	13	25	3	6	1	0	1	2	0	11	0	1	.240	.240	.400	.640
380	 Grichuk, R	STL	CF	132	446	66	107	29	3	24	68	28	141	5	4	.240	.289	.480	.769
381	 Stanton, G	MIA	RF	119	413	56	99	20	1	27	74	50	140	0	0	.240	.326	.489	.815
382	 Wong, K	STL	2B	121	313	39	75	7	7	5	23	34	52	7	0	.240	.327	.355	.682
383	 Lagares, J	NYM	CF	79	142	15	34	7	2	3	9	11	27	4	2	.239	.301	.380	.682
384	 Lind, A	SEA	1B	126	401	48	96	17	0	20	58	26	89	0	1	.239	.286	.431	.717
385	 Panik, J	SF	2B	127	464	67	111	21	7	10	62	50	47	5	0	.239	.315	.379	.695
386	 Snyder, B	ATL	1B	37	46	8	11	5	1	4	9	1	16	0	0	.239	.255	.652	.907
387	 Profar, J	TEX	3B	90	272	35	65	6	3	5	20	30	61	2	1	.239	.321	.338	.660
388	 Weeks Jr., R	ARI	LF	108	180	29	43	9	1	9	27	20	54	5	0	.239	.327	.450	.777
389	 Infante, O	ATL	2B	39	134	16	32	9	1	0	11	9	23	0	0	.239	.279	.321	.600
389	 Lough, D	MIA	OF	30	67	6	16	3	1	0	4	9	8	1	2	.239	.342	.313	.655
391	 Napoli, M	CLE	1B	150	557	92	133	22	1	34	101	78	194	5	1	.239	.335	.465	.800
392	 Mathis, J	MIA	C	41	126	12	30	4	1	2	15	4	36	0	0	.238	.267	.333	.601
392	 Russell, A	CHC	SS	151	525	67	125	25	3	21	95	55	135	5	1	.238	.321	.417	.738
392	 Schafer, L	MIN	RF	26	63	8	15	3	1	0	1	8	16	0	0	.238	.342	.317	.660
392	 Smith, M	ATL	CF	72	189	28	45	7	4	3	22	20	48	16	8	.238	.316	.365	.681
396	 Morrison, L	TB	1B	107	353	45	84	18	1	14	43	37	89	4	2	.238	.319	.414	.733
397	 Smolinski, J	OAK	CF	99	290	28	69	6	2	7	27	19	44	1	2	.238	.299	.345	.644
398	 Soler, J	CHC	LF	86	227	37	54	9	0	12	31	31	66	0	0	.238	.333	.436	.769
399	 Upton, M	TOR	LF	149	492	64	117	15	3	20	61	37	155	27	8	.238	.291	.402	.693
400	 Semien, M	OAK	SS	159	568	72	135	27	2	27	75	51	139	10	2	.238	.300	.435	.735
