RK	Player	Team	Pos	G	AB	R	H	2B	3B	HR	RBI	BB	SO	SB	CS	AVG▼	OBP	SLG	OPS
961	 Castro, M	COL	P	18	0	0	0	0	0	0	0	0	0	0	0	-	-	-	.000
961	 Cecil, B	TOR	P	4	0	0	0	0	0	0	0	0	0	0	0	-	-	-	.000
961	 Cedeno, X	TB	P	5	0	0	0	0	0	0	0	0	0	0	0	-	-	-	.000
961	 Cervenka, H	MIA	P	63	0	0	0	0	0	0	0	0	0	0	0	-	-	-	.000
961	 Chafin, A	ARI	P	32	0	0	0	0	0	0	0	0	0	0	0	-	-	-	.000
961	 Chamberlain, J	CLE	P	3	0	0	0	0	0	0	0	0	0	0	0	-	-	-	.000
961	 Chapman, A	CHC	P	30	0	0	0	0	0	0	0	0	0	0	0	-	-	-	.000
961	 Chargois, J	MIN	P	1	0	0	0	0	0	0	0	0	0	0	0	-	-	-	.000
961	 Chavez, J	LAD	P	27	0	0	0	0	0	0	0	0	0	0	0	-	-	-	.000
961	 Cingrani, T	CIN	P	62	0	1	0	0	0	0	0	1	0	0	0	-	1.000	-	1.000
961	 Cishek, S	SEA	P	6	0	0	0	0	0	0	0	0	0	0	0	-	-	-	.000
961	 Claudio, A	TEX	P	3	0	0	0	0	0	0	0	0	0	0	0	-	-	-	.000
961	 Clippard, T	NYY	P	39	0	0	0	0	0	0	0	0	0	0	0	-	-	-	.000
961	 Coke, P	PIT	P	4	0	0	0	0	0	0	0	0	0	0	0	-	-	-	.000
961	 Coleman, L	LAD	P	57	0	0	0	0	0	0	0	0	0	0	0	-	-	-	.000
961	 Colome, A	TB	P	5	0	0	0	0	0	0	0	0	0	0	0	-	-	-	.000
961	 Colon, J	CLE	P	1	0	0	0	0	0	0	0	0	0	0	0	-	-	-	.000
961	 Concepcion, G	CHC	P	3	0	0	0	0	0	0	0	0	0	0	0	-	-	-	.000
961	 Cotham, C	CIN	P	22	0	0	0	0	0	0	0	0	0	0	0	-	-	-	.000
961	 Coulombe, D	OAK	P	2	0	0	0	0	0	0	0	0	0	0	0	-	-	-	.000
961	 Crockett, K	CLE	P	3	0	0	0	0	0	0	0	0	0	0	0	-	-	-	.000
961	 Cunniff, B	ATL	P	15	0	0	0	0	0	0	0	0	0	0	0	-	-	-	.000
961	 Curtis, Z	ARI	P	20	0	0	0	0	0	0	0	0	0	0	0	-	-	-	.000
961	 Davis, W	KC	P	2	0	0	0	0	0	0	0	0	0	0	0	-	-	-	.000
961	 De Los Santos, A	CIN	P	5	0	0	0	0	0	0	0	0	0	0	0	-	-	-	.000
961	 Dean, P	MIN	P	1	0	0	0	0	0	0	0	0	0	0	0	-	-	-	.000
961	 Delabar, S	CIN	P	6	0	0	0	0	0	0	0	0	0	0	0	-	-	-	.000
961	 Despaigne, O	MIA	P	6	0	0	0	0	0	0	0	0	0	0	0	-	-	-	.000
961	 Devenski, C	HOU	P	6	0	0	0	0	0	0	0	0	0	0	0	-	-	-	.000
961	 Diaz, D	CIN	P	6	0	0	0	0	0	0	0	0	0	0	0	-	-	-	.000
961	 Diekman, J	TEX	P	3	0	0	0	0	0	0	0	0	0	0	0	-	-	-	.000
961	 Dominguez, J	SD	P	30	0	0	0	0	0	0	0	0	0	0	0	-	-	-	.000
961	 Doolittle, S	OAK	P	4	0	0	0	0	0	0	0	0	0	0	0	-	-	-	.000
961	 Drabek, K	SF	SS	1	0	0	0	0	0	0	0	0	0	0	0	-	-	-	.000
961	 Duke, Z	STL	P	30	0	0	0	0	0	0	0	0	0	0	0	-	-	-	.000
961	 Dull, R	OAK	P	8	0	0	0	0	0	0	0	0	0	0	0	-	-	-	.000
961	 Dunn, M	MIA	P	48	0	0	0	0	0	0	0	0	0	0	0	-	-	-	.000
961	 Dyson, S	TEX	P	5	0	0	0	0	0	0	0	0	0	0	0	-	-	-	.000
961	 Edgin, J	NYM	P	15	0	0	0	0	0	0	0	0	0	0	0	-	-	-	.000
961	 Elias, R	BOS	P	1	0	0	0	0	0	0	0	0	0	0	0	-	-	-	.000
961	 Estevez, C	COL	P	58	0	0	0	0	0	0	0	0	0	0	0	-	-	-	.000
961	 Eveland, D	TB	P	1	0	0	0	0	0	0	0	0	0	0	0	-	-	-	.000
961	 Familia, J	NYM	P	74	0	0	0	0	0	0	0	0	0	0	0	-	-	-	.000
961	 Feliz, M	HOU	P	2	0	0	0	0	0	0	0	0	0	0	0	-	-	-	.000
961	 Feliz, N	PIT	P	57	0	0	0	0	0	0	0	0	0	0	0	-	-	-	.000
961	 Fien, C	LAD	P	29	0	0	0	0	0	0	0	0	0	0	0	-	-	-	.000
961	 Flande, Y	COL	P	2	0	0	0	0	0	0	0	0	0	0	0	-	-	-	.000
961	 Floro, D	TB	P	2	0	0	0	0	0	0	0	0	0	0	0	-	-	-	.000
961	 Flynn, B	KC	P	3	0	0	0	0	0	0	0	0	0	0	0	-	-	-	.000
961	 Freeman, S	MIL	P	7	0	0	0	0	0	0	0	0	0	0	0	-	-	-	.000
