RK	Player	Team	Pos	G	AB	R	H	2B	3B	HR	RBI	BB	SO	SB	CS	AVG▼	OBP	SLG	OPS
646	 Pirela, J	SD	LF	15	39	2	6	2	0	0	0	1	9	0	1	.154	.175	.205	.380
652	 Wisler, M	ATL	P	27	46	2	7	0	0	0	2	1	21	0	0	.152	.167	.152	.319
653	 Gray, J	COL	P	26	47	2	7	2	0	0	4	2	30	0	0	.149	.184	.191	.375
654	 Cunningham, T	LAA	CF	20	27	5	4	3	0	0	1	1	6	0	1	.148	.179	.259	.438
654	 Kelly, D	MIA	1B	13	27	2	4	0	2	0	3	2	5	0	0	.148	.200	.296	.496
656	 Ackley, D	NYY	RF	28	61	6	9	0	0	0	4	8	9	0	0	.148	.243	.148	.390
657	 Gentry, C	LAA	LF	14	34	2	5	1	0	0	2	3	6	0	0	.147	.237	.176	.413
658	 Murphy, J	MIN	C	26	82	4	12	3	0	1	3	5	19	0	0	.146	.193	.220	.413
659	 Alberto, H	TEX	SS	35	56	2	8	1	0	0	5	0	17	1	0	.143	.143	.161	.304
659	 DeGrom, J	NYM	P	26	42	6	6	1	0	0	2	3	12	0	0	.143	.200	.167	.367
659	 Glasnow, T	PIT	P	7	7	0	1	0	0	0	0	0	4	0	0	.143	.143	.143	.286
659	 Leake, M	STL	P	32	49	3	7	1	0	0	4	3	19	0	0	.143	.192	.163	.356
659	 Oberholtzer, B	LAA	P	24	7	0	1	0	0	0	0	0	2	0	0	.143	.143	.143	.286
659	 Pomeranz, D	BOS	P	18	35	2	5	0	0	1	4	0	21	0	0	.143	.143	.229	.371
659	 Thompson, J	PHI	P	9	14	0	2	1	0	0	0	0	5	0	0	.143	.143	.214	.357
666	 O'Brien, P	ARI	LF	28	64	6	9	1	0	5	9	3	27	0	0	.141	.179	.391	.570
667	 Mesoraco, D	CIN	C	16	50	2	7	1	0	0	1	5	10	0	1	.140	.218	.160	.378
667	 Weeks, J	SD	2B	17	50	5	7	1	1	0	2	3	14	1	0	.140	.204	.200	.404
669	 Foltynewicz, M	ATL	P	19	36	3	5	1	0	0	1	1	19	0	0	.139	.162	.167	.329
669	 Matz, S	NYM	P	22	36	0	5	1	1	0	2	4	11	0	0	.139	.220	.222	.442
671	 Hendricks, K	CHC	P	30	58	1	8	0	0	0	2	1	29	0	0	.138	.167	.138	.305
672	 Harvey, M	NYM	P	15	22	2	3	1	0	0	0	0	8	0	0	.136	.136	.182	.318
672	 Urias, J	LAD	P	17	22	0	3	0	0	0	2	0	9	0	0	.136	.136	.136	.273
674	 Gonzalez, G	WSH	P	29	52	1	7	2	0	0	2	0	24	0	0	.135	.148	.173	.321
675	 Nunez, R	OAK	3B	9	15	0	2	0	0	0	1	0	3	0	0	.133	.133	.133	.267
676	 Perdomo, L	SD	P	32	38	1	5	1	0	0	1	1	15	0	0	.132	.175	.158	.333
677	 Eickhoff, J	PHI	P	30	61	4	8	3	0	0	5	1	12	0	0	.131	.145	.180	.325
678	 Moran, C	HOU	3B	9	23	1	3	1	0	0	2	1	8	0	0	.130	.200	.174	.374
679	 Peralta, W	MIL	P	21	39	2	5	1	0	1	6	0	15	0	0	.128	.125	.231	.356
680	 Alfaro, J	PHI	C	6	16	0	2	0	0	0	0	1	8	0	0	.125	.176	.125	.301
680	 Cahill, T	CHC	P	49	8	1	1	0	0	0	1	1	4	0	0	.125	.222	.125	.347
680	 Cosart, J	SD	P	13	16	1	2	0	0	0	0	0	5	0	0	.125	.125	.125	.250
680	 Hamels, C	TEX	P	3	8	0	1	0	0	0	0	0	1	0	0	.125	.125	.125	.250
680	 Hedges, A	SD	C	8	24	2	3	1	0	0	1	0	7	0	1	.125	.154	.167	.321
680	 Jungmann, T	MIL	P	8	8	1	1	0	0	0	0	0	4	0	0	.125	.125	.125	.250
680	 Locke, J	PIT	P	30	32	0	4	0	0	0	0	1	17	0	0	.125	.152	.125	.277
680	 Miller, S	ARI	P	20	32	4	4	1	1	0	0	0	21	0	0	.125	.125	.219	.344
680	 Roark, T	WSH	P	33	64	1	8	1	0	0	3	5	25	0	0	.125	.188	.141	.329
680	 Smith, K	CWS	C	7	16	2	2	0	0	0	0	0	6	0	0	.125	.125	.125	.250
680	 Wilkins, A	MIL	RF	26	24	3	3	1	0	1	3	3	10	1	0	.125	.222	.292	.514
691	 Maeda, K	LAD	P	34	57	5	7	1	0	1	4	1	16	0	0	.123	.138	.193	.331
692	 Canha, M	OAK	1B	16	41	4	5	0	0	3	6	0	20	0	1	.122	.140	.341	.481
692	 Conley, A	MIA	P	23	41	4	5	0	0	0	3	1	22	0	0	.122	.140	.122	.261
692	 DeSclafani, A	CIN	P	19	41	0	5	1	0	0	1	1	22	0	0	.122	.143	.146	.289
695	 Rea, C	SD	P	20	33	3	4	0	0	0	1	2	16	0	0	.121	.171	.121	.293
696	 Rondon, J	SD	SS	8	25	1	3	0	0	0	1	1	4	0	0	.120	.154	.120	.274
697	 Kazmir, S	LAD	P	26	43	3	5	0	0	0	2	1	24	0	0	.116	.136	.116	.253
698	 Featherston, T	PHI	2B	19	26	2	3	1	0	0	1	2	11	2	0	.115	.179	.154	.332
698	 Nova, I	PIT	P	14	26	1	3	0	0	0	0	0	18	0	0	.115	.115	.115	.231
698	 Shipley, B	ARI	P	13	26	2	3	1	0	0	2	0	10	1	0	.115	.115	.154	.269
