RK	Player	Team	Pos	G	AB	R	H	2B	3B	HR	RBI	BB	SO	SB	CS	AVG▼	OBP	SLG	OPS
650	 Mathis, J	MIA	C	32	93	9	15	4	1	2	12	7	24	0	0	.161	.214	.290	.504
652	 Lynn, L	STL	P	28	50	3	8	2	0	0	1	0	26	0	0	.160	.160	.200	.360
653	 Bloomquist, W	SEA	SS	35	69	2	11	1	0	0	4	2	13	1	1	.159	.194	.174	.368
654	 Zimmermann, J	WSH	P	31	63	4	10	1	0	0	3	0	18	0	0	.159	.159	.175	.333
655	 Franklin, N	TB	SS	44	101	11	16	4	1	3	7	7	37	1	0	.158	.213	.307	.520
656	 Johnson, D	STL	1B	12	19	1	3	0	0	0	2	2	4	0	0	.158	.238	.158	.396
656	 Telis, T	MIA	C	23	38	2	6	0	0	0	2	1	4	0	0	.158	.220	.158	.377
658	 Sucre, J	SEA	C	50	127	9	20	6	0	1	7	6	21	0	0	.157	.195	.228	.424
659	 Garneau, D	COL	C	22	70	6	11	3	0	2	8	6	14	0	0	.157	.224	.286	.509
660	 Hayes, B	ARI	C	14	32	4	5	0	0	3	6	3	7	0	0	.156	.229	.438	.666
661	 DeSclafani, A	CIN	P	30	58	1	9	1	0	0	3	3	33	0	0	.155	.194	.172	.366
662	 Diaz, J	TOR	SS	7	13	1	2	0	0	0	2	1	3	0	0	.154	.267	.154	.421
662	 Wacha, M	STL	P	27	52	5	8	1	0	0	4	4	20	1	0	.154	.214	.173	.387
664	 Young Jr., E	NYM	LF	53	85	16	13	4	2	0	5	6	18	6	2	.153	.217	.247	.464
665	 Arrieta, J	CHC	P	30	79	5	12	1	1	2	2	1	45	0	0	.152	.163	.266	.428
665	 Craig, A	BOS	1B	36	79	6	12	1	0	1	3	7	26	0	0	.152	.239	.203	.441
667	 Kozma, P	STL	SS	76	99	15	15	0	0	0	2	10	21	3	1	.152	.236	.152	.388
668	 Cole, G	PIT	P	30	60	5	9	0	0	0	2	2	28	0	0	.150	.177	.150	.327
669	 Muno, D	NYM	3B	17	27	2	4	1	0	0	0	4	11	1	0	.148	.258	.185	.443
670	 Boesch, B	CIN	RF	51	89	4	13	2	0	1	5	4	30	1	0	.146	.191	.202	.394
671	 Herrmann, C	MIN	C	45	103	13	15	5	1	2	10	7	37	0	0	.146	.214	.272	.486
672	 Bradley, A	ARI	P	8	14	0	2	0	0	0	0	0	7	0	1	.143	.143	.143	.286
672	 Buehrle, M	TOR	P	4	7	0	1	0	0	0	0	1	3	0	0	.143	.250	.143	.393
672	 Cahill, T	CHC	P	26	7	0	1	0	0	0	0	1	2	0	0	.143	.250	.143	.393
672	 Eickhoff, J	PHI	P	7	14	1	2	0	0	0	2	0	7	0	0	.143	.143	.143	.286
672	 Flande, Y	COL	P	18	21	1	3	0	0	0	1	0	10	0	0	.143	.143	.143	.286
672	 Grossman, R	HOU	LF	24	49	7	7	2	0	1	5	5	17	0	0	.143	.222	.245	.467
672	 Kepler, M	MIN	RF	3	7	0	1	0	0	0	0	0	3	0	0	.143	.143	.143	.286
672	 Lincecum, T	SF	P	16	21	0	3	1	0	0	0	2	10	0	0	.143	.217	.190	.408
672	 Martinez, C	STL	P	31	56	2	8	2	0	0	0	1	23	0	0	.143	.172	.179	.351
672	 Nuno, V	SEA	P	7	7	0	1	0	0	0	1	0	0	0	0	.143	.143	.143	.286
672	 Pena, F	KC	C	8	7	0	1	0	0	0	0	0	3	0	0	.143	.143	.143	.286
672	 Richard, C	CHC	P	22	14	1	2	2	0	0	3	1	6	0	0	.143	.200	.286	.486
684	 Krauss, M	DET	1B	27	78	3	11	3	0	2	8	3	31	0	0	.141	.173	.256	.429
685	 Negron, K	CIN	2B	43	93	6	13	2	0	0	2	9	23	2	0	.140	.238	.161	.399
686	 Vogelsong, R	SF	P	30	36	3	5	1	0	1	2	1	13	0	0	.139	.162	.250	.412
687	 Colon, B	NYM	P	31	58	2	8	1	0	0	4	0	24	0	0	.138	.150	.155	.305
687	 Wisler, M	ATL	P	20	29	0	4	0	0	0	1	2	6	0	0	.138	.194	.138	.331
689	 Walters, Z	CLE	LF	12	30	0	4	0	0	0	3	0	15	0	0	.133	.133	.133	.267
690	 Shields, J	SD	P	34	68	7	9	2	0	0	2	1	28	0	0	.132	.145	.162	.307
691	 Strasburg, S	WSH	P	22	38	1	5	0	0	0	0	2	17	0	0	.132	.175	.132	.307
692	 Blair, C	OAK	C	11	31	3	4	0	0	1	3	4	18	0	0	.129	.229	.226	.454
692	 Dykstra, A	TB	1B	13	31	3	4	0	0	1	4	6	12	0	0	.129	.289	.226	.515
694	 Kershaw, C	LAD	P	31	71	2	9	2	0	0	2	2	23	0	0	.127	.162	.155	.317
695	 Chacin, J	ARI	P	5	8	0	1	0	0	0	0	0	4	0	0	.125	.125	.125	.250
695	 Holmberg, D	CIN	P	6	8	2	1	0	0	0	0	2	5	0	0	.125	.364	.125	.489
695	 McHugh, C	HOU	P	3	8	1	1	0	0	0	0	0	4	0	0	.125	.125	.125	.250
695	 Recker, A	NYM	C	32	80	6	10	1	0	2	5	11	35	1	0	.125	.239	.213	.452
699	 Haren, D	CHC	P	30	49	4	6	1	0	0	5	5	16	0	0	.122	.200	.143	.343
700	 Brantly, R	CWS	C	14	33	3	4	1	0	1	6	2	8	0	0	.121	.167	.242	.409
