RK	Player	Team	Pos	G	AB	R	H	2B	3B	HR	RBI	BB	SO	SB	CS	AVG▼	OBP	SLG	OPS
301	 Ellsbury, J	NYY	CF	111	452	66	116	15	2	7	33	35	86	21	9	.257	.318	.345	.663
302	 Escobar, A	KC	SS	148	612	76	157	20	5	3	47	26	75	17	5	.257	.293	.320	.614
303	 Crawford, B	SF	SS	143	507	65	130	33	4	21	84	39	119	6	4	.256	.321	.462	.782
304	 Polanco, G	PIT	RF	153	593	83	152	35	6	9	52	55	121	27	10	.256	.320	.381	.701
305	 Dietrich, D	MIA	2B	90	250	38	64	14	3	10	24	23	65	0	2	.256	.346	.456	.802
306	 Hicks, A	MIN	CF	97	352	48	90	11	3	11	33	34	66	13	3	.256	.323	.398	.721
307	 Calhoun, K	LAA	RF	159	630	78	161	23	2	26	83	45	164	4	1	.256	.308	.422	.731
308	 Romine, A	DET	3B	109	184	25	47	5	0	2	15	11	46	10	5	.255	.307	.315	.622
309	 Puig, Y	LAD	RF	79	282	30	72	12	3	11	38	26	66	3	3	.255	.322	.436	.758
310	 Frazier, T	CIN	3B	157	619	82	158	43	1	35	89	44	137	13	8	.255	.309	.498	.806
311	 Gomez, C	HOU	CF	115	435	61	111	29	1	12	56	31	101	17	9	.255	.314	.409	.724
312	 Johnson, C	CLE	3B	83	243	18	62	11	0	3	18	10	74	2	1	.255	.286	.337	.624
313	 Gimenez, C	TEX	C	36	98	19	25	6	1	5	14	10	19	2	0	.255	.330	.490	.820
313	 Teixeira, M	NYY	1B	111	392	57	100	22	0	31	79	59	85	2	0	.255	.357	.548	.906
315	 Castellanos, N	DET	3B	154	549	42	140	33	6	15	73	39	152	0	3	.255	.303	.419	.721
316	 Rios, A	KC	RF	105	385	40	98	22	2	4	32	15	67	9	0	.255	.287	.353	.640
317	 Canha, M	OAK	LF	124	441	61	112	22	3	16	70	33	96	7	2	.254	.315	.426	.742
318	 Gose, A	DET	CF	140	485	73	123	24	8	5	26	45	145	23	11	.254	.321	.367	.688
319	 Myers, W	SD	1B	60	225	40	57	13	1	8	29	27	55	5	2	.253	.336	.427	.763
320	 Olivera, H	ATL	LF	24	79	4	20	4	1	2	11	5	12	0	0	.253	.310	.405	.715
321	 Navarro, E	LAA	LF	54	83	9	21	4	0	0	5	5	16	0	2	.253	.295	.301	.597
322	 Hamilton, J	TEX	LF	50	170	22	43	8	0	8	25	10	52	0	0	.253	.291	.441	.732
323	 Uribe, J	NYM	3B	119	360	40	91	17	0	14	43	34	80	2	0	.253	.320	.417	.737
324	 Castillo, R	BOS	LF	80	273	35	69	10	2	5	29	13	54	4	5	.253	.288	.359	.647
324	 Sizemore, G	TB	RF	97	273	24	69	17	0	6	33	20	60	3	3	.253	.307	.381	.688
326	 Den Dekker, M	WSH	LF	55	99	12	25	6	1	5	12	9	20	0	1	.253	.315	.485	.800
327	 Barnhart, T	CIN	C	81	242	23	61	9	0	3	18	25	45	0	1	.252	.324	.326	.650
328	 Young, C	NYY	RF	140	318	53	80	20	1	14	42	30	73	3	1	.252	.320	.453	.773
329	 Barnes, B	COL	LF	106	255	30	64	13	2	2	17	21	67	4	2	.251	.314	.341	.655
330	 Butler, B	OAK	DH	151	538	63	135	28	1	15	65	52	101	0	0	.251	.323	.390	.713
331	 Upton, J	SD	LF	150	542	85	136	26	3	26	81	68	159	19	5	.251	.336	.454	.790
332	 Norris, D	SD	C	147	515	65	129	33	2	14	62	35	131	4	1	.250	.305	.404	.709
333	 Rodriguez, A	NYY	DH	151	523	83	131	22	1	33	86	84	145	4	0	.250	.356	.486	.842
334	 Bautista, J	TOR	RF	153	543	108	136	29	3	40	114	110	106	8	2	.250	.377	.536	.913
335	 Almonte, A	CLE	CF	82	232	36	58	12	5	5	24	21	52	7	1	.250	.310	.409	.719
335	 Blazek, M	MIL	P	42	4	0	1	1	0	0	1	0	2	0	0	.250	.250	.500	.750
335	 Coghlan, C	CHC	RF	148	440	64	110	25	6	16	41	58	94	11	2	.250	.341	.443	.784
335	 Dickerson, A	SD	RF	11	8	0	2	0	0	0	0	0	3	0	0	.250	.250	.250	.500
335	 Dyson, J	KC	RF	90	200	31	50	8	6	2	18	14	37	26	3	.250	.311	.380	.691
335	 Farmer, B	DET	P	2	4	0	1	0	0	0	0	0	3	0	0	.250	.250	.250	.500
335	 Figueroa, C	NYY	3B	2	8	2	2	2	0	0	0	0	0	0	0	.250	.250	.500	.750
335	 Fowler, D	CHC	CF	156	596	102	149	29	8	17	46	84	154	20	7	.250	.346	.411	.757
335	 Goins, R	TOR	2B	128	376	52	94	16	4	5	45	39	83	2	1	.250	.318	.354	.672
335	 Guthrie, J	KC	P	2	4	0	1	0	0	0	0	0	0	0	0	.250	.250	.250	.500
335	 Hague, M	TOR	1B	10	12	1	3	1	0	0	0	2	4	0	0	.250	.400	.333	.733
335	 Jimenez, U	BAL	P	4	8	0	2	0	0	0	2	0	4	0	0	.250	.250	.250	.500
335	 Karns, N	TB	P	2	4	1	1	0	0	1	1	0	3	0	0	.250	.250	1.000	1.250
335	 Kazmir, S	HOU	P	2	4	1	1	0	0	0	1	0	2	0	0	.250	.250	.250	.500
335	 Lorenzen, M	CIN	P	30	36	4	9	0	1	0	4	0	13	0	0	.250	.270	.306	.576
335	 Moore, A	CLE	C	1	4	0	1	0	0	0	1	0	2	0	0	.250	.250	.250	.500
