RK	Player	Team	Pos	G	AB	R	H	2B	3B	HR	RBI	BB	SO	SB	CS	AVG▼	OBP	SLG	OPS
401	 Suzuki, K	MIN	C	131	433	36	104	17	0	5	50	29	59	0	0	.240	.296	.314	.610
402	 Adams, M	STL	1B	60	175	14	42	9	0	5	24	10	41	1	0	.240	.280	.377	.657
402	 Garcia, G	STL	2B	49	75	7	18	5	0	2	4	10	12	0	0	.240	.337	.387	.724
402	 Vargas, K	MIN	1B	58	175	18	42	4	0	5	17	9	54	0	0	.240	.277	.349	.626
405	 Hunter, T	MIN	RF	139	521	67	125	22	0	22	81	35	105	2	5	.240	.293	.409	.702
406	 Bourgeois, J	CIN	CF	68	196	28	47	5	2	3	14	14	33	3	1	.240	.294	.332	.625
407	 Espinosa, D	WSH	SS	118	367	59	88	21	1	13	37	33	106	5	2	.240	.311	.409	.719
408	 Castro, D	ATL	SS	33	96	14	23	2	1	2	5	3	15	0	0	.240	.263	.344	.606
409	 Van Slyke, S	LAD	LF	96	222	19	53	14	0	6	30	23	62	3	1	.239	.317	.383	.700
410	 Flowers, T	CWS	C	112	331	21	79	12	0	9	39	21	104	0	1	.239	.295	.356	.652
411	 Peterson, J	ATL	2B	152	528	55	126	23	5	6	52	56	120	12	10	.239	.314	.335	.649
412	 Rasmus, C	HOU	LF	137	432	67	103	23	2	25	61	47	154	2	1	.238	.314	.475	.789
413	 Bourn, M	ATL	CF	141	425	39	101	15	2	0	30	46	107	17	7	.238	.310	.282	.592
414	 Casali, C	TB	C	38	101	13	24	6	0	10	18	8	34	0	0	.238	.304	.594	.898
415	 Ellis, A	LAD	C	63	181	24	43	9	0	7	21	32	38	0	0	.238	.355	.403	.758
416	 Santana, D	MIL	RF	52	160	20	38	7	0	8	26	20	63	4	1	.238	.337	.431	.768
417	 Castillo, W	ARI	C	110	342	42	81	15	1	19	57	25	92	0	0	.237	.296	.453	.750
418	 Marisnick, J	HOU	CF	133	339	46	80	15	4	9	36	18	105	24	9	.236	.281	.383	.665
419	 Sands, J	CLE	RF	50	123	11	29	5	1	4	19	9	36	0	0	.236	.286	.390	.676
420	 Dozier, B	MIN	2B	157	628	101	148	39	4	28	77	61	148	12	4	.236	.307	.444	.751
421	 Ladendorf, T	OAK	2B	9	17	3	4	0	1	0	2	1	2	0	0	.235	.278	.353	.631
421	 Machado, D	DET	SS	24	68	6	16	3	0	0	5	7	14	1	0	.235	.307	.279	.586
423	 Ruf, D	PHI	1B	106	268	30	63	12	0	12	39	21	69	1	0	.235	.300	.414	.714
424	 Callaspo, A	LAD	3B	97	230	20	54	7	0	1	15	28	34	0	0	.235	.315	.278	.594
425	 Joseph, C	BAL	C	100	320	38	75	16	1	11	49	27	72	0	0	.234	.299	.394	.693
426	 Grandal, Y	LAD	C	115	355	43	83	12	0	16	47	65	92	0	1	.234	.353	.403	.756
427	 Rupp, C	PHI	C	81	270	24	63	9	1	9	28	24	71	0	1	.233	.301	.374	.675
428	 Desmond, I	WSH	SS	156	583	69	136	27	2	19	62	45	187	13	5	.233	.290	.384	.674
429	 Guerrero, A	LAD	LF	106	219	25	51	9	1	11	36	7	57	1	0	.233	.261	.434	.695
430	 DeJesus, D	LAA	LF	112	288	27	67	9	2	5	30	21	52	3	2	.233	.297	.330	.626
431	 McCann, B	NYY	C	135	465	68	108	15	1	26	94	52	97	0	0	.232	.320	.437	.756
432	 Snider, T	PIT	RF	87	237	24	55	12	2	4	28	26	66	1	0	.232	.313	.350	.663
433	 Barmes, C	SD	SS	98	207	24	48	14	1	3	16	10	55	0	1	.232	.281	.353	.633
434	 Chirinos, R	TEX	C	78	233	33	54	16	1	10	34	28	62	0	0	.232	.325	.438	.762
435	 Morse, M	PIT	1B	98	229	14	53	7	1	5	19	23	76	0	0	.231	.313	.336	.649
436	 Gomes, Y	CLE	C	95	363	38	84	22	0	12	45	13	104	0	0	.231	.267	.391	.659
437	 Ackley, D	NYY	RF	108	238	28	55	11	3	10	30	18	45	2	2	.231	.284	.429	.712
438	 Aviles, M	CLE	SS	98	290	37	67	10	0	5	17	20	38	3	1	.231	.282	.317	.599
439	 Santana, C	CLE	DH	154	550	72	127	29	2	19	85	108	122	11	3	.231	.357	.395	.752
440	 Brown, T	SF	C	13	39	1	9	3	0	0	5	3	8	1	1	.231	.279	.308	.587
440	 Lohse, K	MIL	P	38	39	3	9	1	0	0	1	0	10	0	0	.231	.231	.256	.487
442	 Reynolds, M	STL	1B	140	382	35	88	21	2	13	48	44	121	2	3	.230	.315	.398	.713
443	 Victorino, S	LAA	LF	71	178	19	41	4	2	1	7	16	32	7	0	.230	.308	.292	.601
444	 Herrera, J	CHC	2B	73	126	14	29	5	1	2	14	2	23	3	0	.230	.242	.333	.576
445	 Hill, A	ARI	3B	116	313	32	72	18	0	6	39	31	54	7	2	.230	.295	.345	.640
446	 Johnson, M	CWS	2B	36	100	10	23	4	0	0	4	9	30	3	2	.230	.306	.270	.576
447	 Pirela, J	NYY	2B	37	74	7	17	3	0	1	5	2	16	1	0	.230	.247	.311	.558
448	 Ramos, W	WSH	C	128	475	41	109	16	0	15	68	21	101	0	0	.229	.258	.358	.616
449	 Ryan, B	NYY	3B	47	96	10	22	6	2	0	8	5	29	0	0	.229	.275	.333	.608
450	 Howard, R	PHI	1B	129	467	53	107	29	1	23	77	27	138	0	0	.229	.277	.443	.720
