 Refsnyder, R	NYY	2B	16	43	3	13	3	0	2	5	3	7	2	0	.302	.348	.512	.859	
 Wallace, B	SD	3B	64	96	14	29	6	0	5	16	10	31	0	0	.302	.374	.521	.895	
 Cruz, N	SEA	DH	152	590	90	178	22	1	44	93	59	164	3	2	.302	.369	.566	.936	
 LeMahieu, D	COL	2B	150	564	85	170	21	5	6	61	50	107	23	3	.301	.358	.388	.746	
 Span, D	WSH	CF	61	246	38	74	17	0	5	22	25	26	11	0	.301	.365	.431	.796	
 Raburn, R	CLE	LF	82	173	22	52	16	1	8	29	23	44	0	0	.301	.393	.543	.936	
 Hundley, N	COL	C	103	366	45	110	21	5	10	43	21	76	5	6	.301	.339	.467	.807	
 Iglesias, J	DET	SS	120	416	44	125	17	3	2	23	25	44	11	8	.300	.347	.370	.717	
 Yelich, C	MIA	LF	126	476	63	143	30	2	7	44	47	101	16	5	.300	.366	.416	.782	
 Polanco, J	MIN	SS	4	10	1	3	0	0	0	1	2	1	1	0	.300	.417	.300	.717	
 Pierzynski, A	ATL	C	113	407	38	122	24	1	9	49	19	37	0	2	.300	.339	.430	.769	
 Trout, M	LAA	CF	159	575	104	172	32	6	41	90	92	158	11	7	.299	.402	.590	.991	
 Hosmer, E	KC	1B	158	599	98	178	33	5	18	93	61	108	7	3	.297	.363	.459	.822	
 Herrera, O	PHI	CF	147	495	64	147	30	3	8	41	28	129	16	8	.297	.344	.418	.762	
 Donaldson, J	TOR	3B	158	620	122	184	41	2	41	123	73	133	6	0	.297	.371	.568	.939	
 Kinsler, I	DET	2B	154	624	94	185	35	7	11	73	43	80	10	6	.296	.342	.428	.770	
 Rogers, J	MIL	1B	86	152	22	45	6	2	4	16	15	34	0	0	.296	.367	.441	.808	
 Markakis, N	ATL	RF	156	612	73	181	38	1	3	53	70	83	2	1	.296	.370	.376	.746	
 Kendrick, H	LAD	2B	117	464	64	137	22	2	9	54	27	82	6	2	.295	.336	.409	.746	
 Mahtook, M	TB	CF	41	105	22	31	5	1	9	19	6	31	4	3	.295	.351	.619	.970	
 Thompson, T	CWS	CF	44	122	17	36	8	3	5	16	13	26	1	0	.295	.363	.533	.896	
 Duffy, M	SF	3B	149	573	77	169	28	6	12	77	30	96	12	0	.295	.334	.428	.762	
 Cervelli, F	PIT	C	130	451	56	133	17	5	7	43	46	94	1	1	.295	.370	.401	.771	
 Burns, B	OAK	CF	125	520	70	153	18	9	5	42	26	81	26	8	.294	.334	.392	.726	
 Phillips, B	CIN	2B	148	588	69	173	19	2	12	70	27	68	23	3	.294	.328	.395	.723	
 Ethier, A	LAD	RF	142	395	54	116	20	7	14	53	43	75	2	3	.294	.366	.486	.852	
 Turner, J	LAD	3B	126	385	55	113	26	1	16	60	36	71	5	2	.294	.370	.491	.861	
 Heyward, J	STL	RF	154	547	79	160	33	4	13	60	56	90	23	3	.293	.359	.439	.797	
 Gutierrez, F	SEA	LF	59	171	27	50	11	0	15	35	14	54	0	0	.292	.354	.620	.974	
 Blanco, A	PHI	2B	106	233	32	68	22	3	7	25	21	44	1	1	.292	.360	.502	.863	
 McCutchen, A	PIT	CF	157	566	91	165	36	3	23	96	98	133	11	5	.292	.401	.488	.889	
 Betts, M	BOS	RF	145	597	92	174	42	8	18	77	46	82	21	6	.291	.341	.479	.820	
 Pedroia, D	BOS	2B	93	381	46	111	19	1	12	42	38	51	2	2	.291	.356	.441	.797	
 Cespedes, Y	NYM	LF	159	633	101	184	42	6	35	105	33	141	7	5	.291	.328	.542	.870	
 Parra, G	BAL	LF	155	547	83	159	36	5	14	51	28	92	14	4	.291	.328	.452	.780	
 Blanco, G	SF	LF	115	327	59	95	19	3	5	26	40	59	13	5	.291	.368	.413	.781	
 Abreu, J	CWS	1B	154	613	88	178	34	3	30	101	39	140	0	0	.290	.347	.502	.850	
 Morales, K	KC	DH	158	569	81	165	41	2	22	106	58	103	0	0	.290	.362	.485	.847	
 Valencia, D	OAK	3B	105	345	59	100	23	1	18	66	29	80	2	2	.290	.345	.519	.864	
 Colon, C	KC	2B	43	107	8	31	5	0	0	6	11	17	3	2	.290	.356	.336	.692	
 Gillespie, C	MIA	CF	67	145	17	42	10	2	2	16	10	27	4	1	.290	.333	.428	.761	
 Baez, J	CHC	SS	28	76	4	22	6	0	1	4	4	24	1	2	.289	.325	.408	.733	
 Tabata, J	LAD	RF	27	38	2	11	0	0	0	4	2	7	0	1	.289	.341	.289	.631	
 Wright, D	NYM	3B	38	152	24	44	7	0	5	17	22	36	2	1	.289	.379	.434	.814	
 Stewart, C	PIT	C	58	159	9	46	8	0	0	15	6	29	0	0	.289	.320	.340	.659	
 Prado, M	MIA	3B	129	500	52	144	22	2	9	63	37	68	1	0	.288	.338	.394	.732	
 Beltre, A	TEX	3B	143	567	83	163	32	4	18	83	41	65	1	0	.287	.334	.453	.788	
 Kang, J	PIT	3B	126	421	60	121	24	2	15	58	28	99	5	4	.287	.355	.461	.816	
 Arenado, N	COL	3B	157	616	97	177	43	4	42	130	34	110	2	5	.287	.323	.575	.898	
 Aoki, N	SF	LF	93	355	42	102	12	3	5	26	30	25	14	5	.287	.353	.380	.733	
 Clevenger, S	BAL	C	30	101	11	29	4	2	2	15	4	13	0	0	.287	.314	.426	.740	
 Harrison, J	PIT	2B	114	418	57	120	29	1	4	28	19	71	10	8	.287	.327	.390	.717	
 Eaton, A	CWS	CF	153	610	98	175	28	9	14	56	58	131	18	8	.287	.361	.431	.792	
 Cano, R	SEA	2B	156	624	82	179	34	1	21	79	43	107	2	6	.287	.334	.446	.779	
 Marte, S	PIT	LF	153	579	84	166	30	2	19	81	27	123	30	10	.287	.337	.444	.780	
 Blackmon, C	COL	CF	157	614	93	176	31	9	17	58	46	112	43	13	.287	.347	.450	.797	
 Jaso, J	TB	DH	70	185	23	53	17	0	5	22	28	39	1	2	.286	.380	.459	.839	
 Machado, M	BAL	3B	162	633	102	181	30	1	35	86	70	111	20	8	.286	.359	.502	.861	
 Janish, P	BAL	SS	14	35	4	10	3	0	0	3	0	3	0	0	.286	.278	.371	.649	
 Morel, B	OAK	3B	3	7	1	2	1	0	0	1	0	3	0	0	.286	.286	.429	.714	
 Williams, M	NYY	CF	8	21	3	6	3	0	1	3	1	3	0	0	.286	.318	.571	.890	
 Braun, R	MIL	LF	140	506	87	144	27	3	25	84	54	115	24	4	.285	.356	.498	.854	
 Villar, J	HOU	SS	53	116	18	33	7	1	2	11	10	29	7	2	.284	.339	.414	.752	
 Moustakas, M	KC	3B	147	549	73	156	34	1	22	82	43	76	1	2	.284	.348	.470	.817	
 Rutledge, J	BOS	2B	39	74	11	21	1	0	1	10	5	26	0	0	.284	.333	.338	.671	
 Marte, K	SEA	SS	57	219	25	62	14	3	2	17	24	43	8	4	.283	.351	.402	.753	
 Murphy, D	LAA	LF	132	361	38	102	18	1	10	50	20	49	0	2	.283	.318	.421	.739	
 Alonso, Y	SD	1B	103	354	50	100	18	1	5	31	42	48	2	5	.282	.361	.381	.742	
 Perez, J	SF	RF	22	39	5	11	3	0	0	2	1	6	1	0	.282	.300	.359	.659	
 Nunez, E	MIN	SS	72	188	23	53	14	1	4	20	12	29	8	4	.282	.327	.431	.758	
 Martinez, J	DET	RF	158	596	93	168	33	2	38	102	53	178	3	2	.282	.344	.535	.879	
 Rojas, M	MIA	2B	60	142	13	40	7	1	1	17	11	16	0	1	.282	.329	.366	.695	
 Forsythe, L	TB	2B	153	540	69	152	33	2	17	68	55	111	9	4	.281	.359	.444	.804	
 Holaday, B	DET	C	24	64	3	18	5	0	2	13	1	13	0	0	.281	.292	.453	.745	
 Hechavarria, A	MIA	SS	130	470	54	132	17	6	5	48	23	78	7	2	.281	.315	.374	.689	
 Murphy, D	NYM	2B	130	499	56	140	38	2	14	73	31	38	2	2	.281	.322	.449	.770	
 Belt, B	SF	1B	137	492	73	138	33	5	18	68	56	147	9	3	.280	.356	.478	.834	
 Robertson, D	LAA	LF	37	75	10	21	2	0	0	7	2	7	0	0	.280	.299	.307	.605	
 Tulowitzki, T	TOR	SS	128	486	77	136	27	0	17	70	38	114	1	0	.280	.337	.440	.777	
 Loney, J	TB	1B	104	361	25	101	16	0	4	32	23	34	2	4	.280	.322	.357	.680	
 Holt, B	BOS	2B	129	454	56	127	27	6	2	45	46	97	8	1	.280	.349	.379	.727	
 Franco, M	PHI	3B	80	304	45	85	22	1	14	50	26	52	1	0	.280	.343	.497	.840	
 Suarez, E	CIN	3B	97	372	42	104	19	2	13	48	17	94	4	1	.280	.315	.446	.761	
 Holliday, M	STL	LF	73	229	24	64	16	1	4	35	39	49	2	1	.279	.394	.410	.804	
 Correa, C	HOU	SS	99	387	52	108	22	1	22	68	40	78	14	4	.279	.345	.512	.857	
 Gonzalez, M	HOU	1B	120	344	44	96	18	1	12	34	16	74	4	5	.279	.317	.442	.759	
 Schoop, J	BAL	2B	86	305	34	85	17	0	15	39	9	79	2	0	.279	.306	.482	.788	
 Pillar, K	TOR	CF	159	586	76	163	31	2	12	56	28	85	25	4	.278	.314	.399	.713	
 Rizzo, A	CHC	1B	160	586	94	163	38	3	31	101	78	105	17	6	.278	.387	.512	.899	
 Moreland, M	TEX	1B	132	471	51	131	27	0	23	85	32	112	1	0	.278	.330	.482	.812	
 Garcia, A	ATL	3B	58	191	20	53	12	0	10	26	5	35	0	0	.277	.293	.497	.790	
 Murphy, J	NYY	C	67	155	21	43	9	1	3	14	12	43	0	0	.277	.327	.406	.734	
 Paulsen, B	COL	1B	116	325	42	90	19	4	11	49	23	92	1	2	.277	.326	.462	.787	
 Lind, A	MIL	1B	149	502	72	139	32	0	20	87	66	100	0	0	.277	.360	.460	.820	
 Encarnacion, E	TOR	DH	146	528	94	146	31	0	39	111	77	98	3	2	.277	.372	.557	.929	
 Freeman, F	ATL	1B	118	416	62	115	27	0	18	66	56	98	3	1	.276	.370	.471	.841	
 Butler, J	TB	LF	88	257	30	71	12	0	8	30	16	82	5	2	.276	.326	.416	.742	
 Zobrist, B	KC	2B	126	467	76	129	36	3	13	56	62	56	3	4	.276	.359	.450	.809	
 Beltran, C	NYY	RF	133	478	57	132	34	1	19	67	45	85	0	0	.276	.337	.471	.808	
 Arcia, O	MIN	LF	19	58	6	16	0	0	2	8	4	15	0	0	.276	.338	.379	.718	
 Navarro, R	BAL	2B	10	29	5	8	2	0	1	3	0	3	0	0	.276	.276	.448	.724	
 Springer, G	HOU	RF	102	388	59	107	19	2	16	41	50	109	16	4	.276	.367	.459	.826	
 Choo, S	TEX	RF	149	555	94	153	32	3	22	82	76	147	4	2	.276	.375	.463	.838	
 Grichuk, R	STL	CF	103	323	49	89	23	7	17	47	22	110	4	2	.276	.329	.548	.877	
 Bryant, K	CHC	3B	151	559	87	154	31	5	26	99	77	199	13	4	.275	.369	.488	.858	
 Paredes, J	BAL	DH	104	363	46	100	17	2	10	42	19	111	4	4	.275	.310	.416	.726	
 Pence, H	SF	RF	52	207	30	57	13	1	9	40	16	48	4	1	.275	.327	.478	.806	
 Gonzalez, A	LAD	1B	156	571	76	157	33	0	28	90	62	107	0	1	.275	.350	.480	.830	
 Peralta, J	STL	SS	155	579	64	159	26	1	17	71	50	111	1	4	.275	.334	.411	.745	
 Reyes, J	COL	SS	116	481	57	132	25	2	7	53	26	62	24	6	.274	.310	.378	.688	
 Swihart, B	BOS	C	84	288	47	79	17	1	5	31	18	77	4	2	.274	.319	.392	.712	
 Cabrera, M	CWS	LF	158	629	70	172	36	2	12	77	40	88	3	0	.273	.314	.394	.709	
 Tomas, Y	ARI	LF	118	406	40	111	19	3	9	48	17	110	5	2	.273	.305	.401	.707	
 Pena, B	CIN	C	108	333	17	91	17	0	0	18	29	34	2	0	.273	.334	.324	.659	
 Carrera, E	TOR	LF	91	172	27	47	8	0	3	26	11	45	2	1	.273	.321	.372	.693	
 Ortiz, D	BOS	DH	146	528	73	144	37	0	37	108	77	95	0	1	.273	.360	.553	.913	
 Reddick, J	OAK	RF	149	526	67	143	25	4	20	77	49	65	10	2	.272	.333	.449	.781	
 Robinson, C	WSH	1B	126	309	44	84	15	1	10	34	37	52	0	0	.272	.358	.424	.782	
