RK	Player	Team	Pos	G	AB	R	H	2B	3B	HR	RBI	BB	SO	SB	CS	AVG▼	OBP	SLG	OPS
551	 Lough, D	BAL	LF	84	134	14	27	1	1	4	12	5	36	2	4	.201	.241	.313	.555
552	 Drew, S	NYY	2B	131	383	43	77	16	1	17	44	37	71	0	2	.201	.271	.381	.652
553	 Bernier, D	MIN	SS	4	5	1	1	1	0	0	2	1	3	0	0	.200	.333	.400	.733
553	 Bethancourt, C	ATL	C	48	155	16	31	8	0	2	12	5	33	1	1	.200	.225	.290	.515
553	 Bourjos, P	STL	CF	117	195	32	39	8	3	4	13	19	59	5	8	.200	.290	.333	.623
553	 Buchanan, D	PHI	P	15	20	2	4	1	0	0	1	2	8	0	0	.200	.273	.250	.523
553	 Gibson, K	MIN	P	2	5	0	1	0	0	0	0	0	2	0	0	.200	.200	.200	.400
553	 Kelly, J	BOS	P	2	5	0	1	0	0	0	1	0	2	0	0	.200	.200	.200	.400
553	 Keuchel, D	HOU	P	2	5	0	1	0	0	0	0	0	4	0	0	.200	.200	.200	.400
553	 Lake, J	BAL	RF	29	80	4	16	7	0	1	5	4	29	4	0	.200	.238	.325	.563
553	 Santiago, H	LAA	P	3	5	0	1	0	0	0	0	0	3	0	0	.200	.200	.200	.400
553	 Strausborger, R	TEX	LF	31	45	9	9	0	0	1	3	3	11	2	1	.200	.240	.267	.507
553	 Teagarden, T	CHC	C	8	15	0	3	0	0	0	2	0	4	0	0	.200	.200	.200	.400
553	 Williams, J	SF	C	7	10	1	2	1	0	0	1	4	1	1	0	.200	.429	.300	.729
565	 Carter, C	HOU	1B	129	391	50	78	17	0	24	64	57	151	1	2	.199	.307	.427	.734
566	 Lobaton, J	WSH	C	44	136	11	27	4	0	3	20	15	40	0	0	.199	.279	.294	.573
567	 McGehee, C	MIA	3B	109	237	14	47	12	0	2	20	21	50	1	1	.198	.264	.274	.538
568	 Fuld, S	OAK	LF	120	290	34	57	16	3	2	22	30	55	9	3	.197	.276	.293	.569
569	 Campbell, E	NYM	3B	71	173	28	34	8	0	3	19	26	37	5	3	.197	.312	.295	.607
570	 Swisher, N	ATL	LF	76	219	14	43	9	0	6	25	35	54	0	0	.196	.312	.320	.631
571	 Butera, D	KC	C	55	107	9	21	3	0	1	5	6	26	0	1	.196	.252	.252	.505
572	 Heston, C	SF	P	28	51	1	10	2	0	0	3	0	18	0	0	.196	.196	.235	.431
573	 Sardinas, L	MIL	SS	36	97	8	19	0	1	0	4	6	25	0	0	.196	.240	.216	.457
574	 Nieuwenhuis, K	NYM	LF	74	128	21	25	11	0	4	14	10	49	2	2	.195	.270	.375	.645
575	 Field, T	TEX	2B	14	41	6	8	1	0	2	5	2	16	1	0	.195	.250	.366	.616
575	 Stubbs, D	TEX	CF	78	123	20	24	4	2	5	10	14	60	5	1	.195	.283	.382	.665
577	 Kubitza, K	LAA	3B	19	36	6	7	0	0	0	1	3	15	0	0	.194	.256	.194	.451
577	 Peavy, J	SF	P	19	36	5	7	2	0	1	3	1	17	0	0	.194	.216	.333	.550
579	 Nava, D	TB	RF	60	139	13	27	4	0	1	10	20	36	1	0	.194	.315	.245	.560
580	 Saunders, M	TOR	RF	9	31	2	6	0	0	0	3	5	10	0	0	.194	.306	.194	.499
581	 Rua, R	TEX	LF	28	83	10	16	5	0	4	7	3	32	0	0	.193	.221	.398	.619
581	 Smolinski, J	OAK	LF	76	166	24	32	7	2	6	26	19	39	1	1	.193	.281	.367	.649
583	 Kratz, E	PHI	C	16	26	3	5	2	0	0	3	1	5	0	0	.192	.214	.269	.484
584	 Lavarnway, R	ATL	C	37	94	6	18	6	0	2	6	12	28	0	0	.191	.283	.319	.602
584	 Olt, M	CWS	3B	30	94	7	18	0	0	4	5	7	35	0	1	.191	.255	.319	.574
584	 Singleton, J	HOU	1B	19	47	6	9	2	0	1	6	10	17	1	0	.191	.328	.298	.625
587	 Avila, A	DET	C	67	178	21	34	5	0	4	13	40	66	0	1	.191	.339	.287	.626
588	 Green, G	LAA	2B	21	42	6	8	0	0	1	3	2	14	0	1	.190	.227	.262	.489
588	 Romero, S	SEA	RF	13	21	6	4	1	0	1	3	3	6	0	0	.190	.292	.381	.673
590	 Wilson, B	TEX	C	56	132	8	25	5	0	1	14	11	39	0	1	.189	.255	.250	.505
591	 Shaffer, R	TB	3B	31	74	11	14	3	0	4	6	10	32	0	1	.189	.307	.392	.699
592	 Solano, D	MIA	3B	55	90	6	17	3	1	0	7	1	18	0	0	.189	.215	.244	.459
593	 Cowgill, C	LAA	LF	55	69	10	13	2	1	1	2	4	19	2	1	.188	.233	.290	.523
594	 Iannetta, C	LAA	C	92	272	28	51	10	0	10	34	41	83	0	1	.188	.293	.335	.628
594	 Lyons, T	STL	P	17	16	3	3	0	0	0	1	2	4	0	0	.188	.278	.188	.465
594	 Marquis, J	CIN	P	8	16	2	3	1	0	0	1	0	4	0	0	.188	.188	.250	.438
597	 Peguero, C	BOS	LF	34	75	11	14	4	0	4	9	13	37	2	0	.187	.311	.400	.711
598	 DeGrom, J	NYM	P	28	59	3	11	1	0	0	4	3	16	0	0	.186	.226	.203	.429
599	 Kendrick, K	COL	P	25	43	6	8	2	0	1	2	3	16	0	0	.186	.239	.302	.541
600	 Adrianza, E	SF	2B	52	113	11	21	7	1	0	11	15	20	3	2	.186	.303	.265	.569
