RK	Player	Team	Pos	G	AB	R	H	2B	3B	HR	RBI	BB	SO	SB	CS	AVG▼	OBP	SLG	OPS
335	 Moscot, J	CIN	P	2	4	0	1	0	0	0	0	0	2	0	0	.250	.250	.250	.500
335	 Perez, C	LAA	C	86	260	20	65	13	0	4	21	19	49	2	0	.250	.299	.346	.645
335	 Presley, A	HOU	LF	8	12	1	3	0	0	0	1	1	5	0	0	.250	.308	.250	.558
335	 Robinson, S	MIN	LF	83	180	28	45	7	3	0	16	12	29	6	1	.250	.299	.322	.621
335	 Ross, T	SD	P	32	56	6	14	1	1	1	6	2	19	0	0	.250	.283	.357	.640
335	 Schebler, S	LAD	LF	19	36	6	9	0	0	3	4	3	13	2	1	.250	.325	.500	.825
335	 Severino, P	WSH	C	2	4	1	1	1	0	0	0	0	1	0	0	.250	.250	.500	.750
358	 Ramirez, H	BOS	1B	105	401	59	100	12	1	19	53	21	71	6	3	.249	.291	.426	.717
359	 Orlando, P	KC	RF	86	241	31	60	14	6	7	27	5	53	3	3	.249	.269	.444	.713
360	 Phegley, J	OAK	C	73	225	27	56	16	1	9	34	14	51	0	0	.249	.300	.449	.749
361	 Bradley, J	BOS	CF	74	221	43	55	17	4	10	43	27	69	3	0	.249	.335	.498	.832
362	 Ramirez, A	CWS	SS	154	583	54	145	33	0	10	62	31	68	17	7	.249	.285	.357	.642
363	 Zimmerman, R	WSH	1B	95	346	43	86	25	1	16	73	33	79	1	0	.249	.308	.465	.773
364	 Smith, S	SEA	RF	136	395	54	98	31	5	12	42	47	99	0	0	.248	.330	.443	.773
365	 Ruggiano, J	LAD	RF	57	125	20	31	8	1	6	15	14	41	5	2	.248	.333	.472	.805
366	 Montero, M	CHC	C	113	347	36	86	11	0	15	53	49	103	1	1	.248	.345	.409	.754
367	 Davis, K	MIL	LF	121	392	54	97	16	2	27	66	44	122	6	2	.247	.323	.505	.828
368	 Sogard, E	OAK	2B	120	372	40	92	12	3	1	37	23	50	6	1	.247	.294	.304	.598
369	 Hanigan, R	BOS	C	54	174	28	43	8	0	2	16	20	39	0	0	.247	.337	.328	.664
370	 Reimold, N	BAL	LF	61	170	24	42	5	1	6	20	23	47	0	0	.247	.344	.394	.738
371	 Byrd, M	SF	LF	135	506	58	125	25	5	23	73	29	145	2	1	.247	.290	.453	.743
372	 Gyorko, J	SD	2B	128	421	34	104	15	0	16	57	27	107	0	1	.247	.297	.397	.694
373	 Bumgarner, M	SF	P	34	77	9	19	2	0	5	9	3	27	0	0	.247	.275	.468	.743
374	 Ramirez, A	PIT	3B	137	475	43	117	31	1	17	75	31	68	1	0	.246	.297	.423	.720
375	 Chisenhall, L	CLE	RF	106	333	38	82	19	1	7	44	23	69	4	1	.246	.294	.372	.667
376	 Schwarber, K	CHC	LF	69	232	52	57	6	1	16	43	36	77	3	3	.246	.355	.487	.842
377	 Baxter, M	CHC	RF	34	57	6	14	1	0	0	2	7	14	0	0	.246	.348	.263	.612
377	 Navarro, D	TOR	C	54	171	17	42	7	0	5	20	17	29	0	0	.246	.307	.374	.682
379	 Gattis, E	HOU	C	153	566	66	139	20	11	27	88	30	119	0	1	.246	.285	.463	.748
380	 Rodriguez, S	PIT	1B	139	224	25	55	12	1	4	17	5	63	2	2	.246	.281	.362	.642
381	 Martinez, V	DET	DH	120	440	39	108	20	0	11	64	31	52	0	0	.245	.301	.366	.667
382	 Adames, C	COL	SS	26	53	4	13	1	1	0	3	3	11	0	1	.245	.298	.302	.600
383	 Asche, C	PHI	LF	129	425	41	104	22	3	12	39	26	111	1	2	.245	.294	.395	.689
384	 Sandoval, P	BOS	3B	126	470	43	115	25	1	10	47	25	73	0	0	.245	.292	.366	.658
385	 Plouffe, T	MIN	3B	152	573	74	140	35	4	22	86	50	124	2	1	.244	.307	.435	.742
386	 Pujols, A	LAA	DH	157	602	85	147	22	0	40	95	50	72	5	3	.244	.307	.480	.787
387	 Duda, L	NYM	1B	135	471	67	115	33	0	27	73	66	138	0	2	.244	.352	.486	.838
388	 De Jesus, I	CIN	SS	76	201	15	49	10	2	4	28	19	55	0	2	.244	.311	.373	.684
389	 Mercer, J	PIT	SS	116	394	34	96	21	0	3	34	27	73	3	2	.244	.293	.320	.613
390	 Venable, W	TEX	CF	135	349	40	85	13	3	6	33	37	94	16	1	.244	.320	.350	.669
391	 Perez, H	MIL	3B	112	263	14	64	15	2	1	21	5	59	5	1	.243	.257	.327	.584
392	 Tucker, P	HOU	LF	98	300	35	73	19	0	13	33	20	68	0	2	.243	.297	.437	.734
393	 Alvarez, P	PIT	1B	150	437	60	106	18	0	27	77	48	131	2	0	.243	.318	.469	.787
394	 Pacheco, J	ARI	C	29	66	8	16	0	0	2	8	9	14	1	0	.242	.333	.333	.667
395	 Herrera, E	MIL	3B	83	256	29	62	18	0	7	33	18	72	3	1	.242	.290	.395	.684
396	 Russell, A	CHC	SS	142	475	60	115	29	1	13	54	42	149	4	3	.242	.307	.389	.696
397	 Schumaker, S	CIN	LF	131	244	23	59	20	0	1	21	23	51	2	2	.242	.306	.336	.642
398	 Alvarez, D	BAL	RF	12	29	3	7	1	0	1	1	2	8	0	0	.241	.290	.379	.670
399	 Altherr, A	PHI	CF	39	137	25	33	11	4	5	22	16	41	6	2	.241	.338	.489	.827
400	 Martin, R	TOR	C	129	441	76	106	23	2	23	77	53	106	4	5	.240	.329	.458	.787
