RK	Player	Team	Pos	G	AB	R	H	2B	3B	HR	RBI	BB	SO	SB	CS	AVG▼	OBP	SLG	OPS
37	 Romak, J	ARI	LF	12	15	2	5	2	0	0	1	1	6	0	0	.333	.375	.467	.842
37	 Torreyes, R	LAD	SS	8	6	1	2	1	0	0	1	1	1	0	0	.333	.429	.500	.929
37	 Weeks, J	BOS	2B	3	9	1	3	0	0	0	1	0	2	0	0	.333	.333	.333	.667
37	 Wilson, C	LAA	P	2	6	0	2	0	0	0	0	0	1	0	0	.333	.333	.333	.667
55	 Harper, B	WSH	RF	153	521	118	172	38	1	42	99	124	131	6	4	.330	.460	.649	1.109
56	 Colabello, C	TOR	1B	101	333	55	107	19	1	15	54	22	96	2	0	.321	.367	.520	.886
57	 Goldschmidt, P	ARI	1B	159	567	103	182	38	2	33	110	118	151	21	5	.321	.435	.570	1.005
58	 Bogaerts, X	BOS	SS	156	613	84	196	35	3	7	81	32	101	10	2	.320	.355	.421	.776
59	 Posey, B	SF	C	150	557	74	177	28	0	19	95	56	52	2	0	.318	.379	.470	.849
60	 Aguilar, J	CLE	1B	7	19	0	6	1	0	0	2	0	7	0	0	.316	.350	.368	.718
60	 Wilson, J	DET	2B	21	38	4	12	3	0	0	5	0	15	0	0	.316	.350	.395	.745
62	 Pollock, A	ARI	CF	157	609	111	192	39	6	20	76	53	89	39	7	.315	.367	.498	.865
63	 Escobar, Y	WSH	3B	139	535	75	168	25	1	9	56	45	70	2	2	.314	.375	.415	.790
64	 Votto, J	CIN	1B	158	545	95	171	33	2	29	80	143	135	11	3	.314	.459	.541	1.000
65	 Altuve, J	HOU	2B	154	638	86	200	40	4	15	66	33	67	38	13	.313	.353	.459	.812
66	 Blanks, K	TEX	1B	18	67	10	21	5	0	3	6	4	20	1	0	.313	.352	.522	.875
67	 Lindor, F	CLE	SS	99	390	50	122	22	4	12	51	27	69	12	2	.313	.353	.482	.835
68	 Peralta, D	ARI	LF	149	462	61	144	26	10	17	78	44	107	9	4	.312	.371	.522	.893
69	 Panik, J	SF	2B	100	382	59	119	27	2	8	37	38	42	3	2	.312	.378	.455	.833
70	 Gosselin, P	ARI	2B	44	106	19	33	9	1	3	15	9	16	2	1	.311	.373	.500	.873
71	 Brantley, M	CLE	LF	137	529	68	164	45	0	15	84	60	51	15	1	.310	.379	.480	.859
72	 Arencibia, J	TB	C	24	71	9	22	3	0	6	17	1	22	0	0	.310	.315	.606	.921
73	 Morneau, J	COL	1B	49	168	19	52	10	3	3	15	13	25	0	0	.310	.363	.458	.821
74	 Hernandez, E	LAD	LF	76	202	24	62	12	2	7	22	11	46	0	2	.307	.346	.490	.836
75	 Cain, L	KC	CF	140	551	101	169	34	6	16	72	37	98	28	6	.307	.361	.477	.838
76	 Revere, B	TOR	LF	152	592	84	181	22	7	2	45	32	64	31	7	.306	.342	.377	.719
77	 Fielder, P	TEX	DH	158	613	78	187	28	0	23	98	64	88	0	0	.305	.378	.463	.841
78	 Piscotty, S	STL	RF	63	233	29	71	15	4	7	39	20	56	2	1	.305	.359	.494	.853
79	 Travis, D	TOR	2B	62	217	38	66	18	0	8	35	18	43	3	1	.304	.361	.498	.859
80	 Dickerson, C	COL	LF	65	224	30	68	18	2	10	31	10	56	0	1	.304	.333	.536	.869
81	 Inciarte, E	ARI	RF	132	524	73	159	27	5	6	45	26	58	21	10	.303	.338	.408	.747
82	 Tomlinson, K	SF	2B	54	178	23	54	6	3	2	20	14	40	5	4	.303	.358	.404	.762
83	 Brito, S	ARI	CF	18	33	5	10	3	1	0	1	1	7	1	0	.303	.324	.455	.778
84	 Kipnis, J	CLE	2B	141	565	86	171	43	7	9	52	57	107	12	8	.303	.372	.451	.823
85	 Refsnyder, R	NYY	2B	16	43	3	13	3	0	2	5	3	7	2	0	.302	.348	.512	.859
86	 Wallace, B	SD	3B	64	96	14	29	6	0	5	16	10	31	0	0	.302	.374	.521	.895
87	 Cruz, N	SEA	DH	152	590	90	178	22	1	44	93	59	164	3	2	.302	.369	.566	.936
88	 LeMahieu, D	COL	2B	150	564	85	170	21	5	6	61	50	107	23	3	.301	.358	.388	.746
89	 Span, D	WSH	CF	61	246	38	74	17	0	5	22	25	26	11	0	.301	.365	.431	.796
90	 Raburn, R	CLE	LF	82	173	22	52	16	1	8	29	23	44	0	0	.301	.393	.543	.936
91	 Hundley, N	COL	C	103	366	45	110	21	5	10	43	21	76	5	6	.301	.339	.467	.807
92	 Iglesias, J	DET	SS	120	416	44	125	17	3	2	23	25	44	11	8	.300	.347	.370	.717
93	 Yelich, C	MIA	LF	126	476	63	143	30	2	7	44	47	101	16	5	.300	.366	.416	.782
94	 Cooney, T	STL	P	6	10	1	3	1	0	0	0	0	0	0	0	.300	.300	.400	.700
94	 Polanco, J	MIN	SS	4	10	1	3	0	0	0	1	2	1	1	0	.300	.417	.300	.717
96	 Pierzynski, A	ATL	C	113	407	38	122	24	1	9	49	19	37	0	2	.300	.339	.430	.769
97	 Trout, M	LAA	CF	159	575	104	172	32	6	41	90	92	158	11	7	.299	.402	.590	.991
98	 Hosmer, E	KC	1B	158	599	98	178	33	5	18	93	61	108	7	3	.297	.363	.459	.822
99	 Herrera, O	PHI	CF	147	495	64	147	30	3	8	41	28	129	16	8	.297	.344	.418	.762
100	 Donaldson, J	TOR	3B	158	620	122	184	41	2	41	123	73	133	6	0	.297	.371	.568	.939
