RK	Player	Team	Pos	G	AB	R	H	2B	3B	HR	RBI	BB	SO	SB	CS	AVG▼	OBP	SLG	OPS
201	 Aybar, E	LAA	SS	138	550	68	149	33	5	6	54	23	59	12	7	.271	.301	.382	.683
202	 Jaso, J	OAK	C	70	207	31	56	12	0	3	21	38	45	2	1	.271	.387	.372	.759
203	 Ellis, M	LAD	2B	126	433	46	117	13	2	6	48	26	74	4	1	.270	.323	.351	.674
204	 Kemp, M	LAD	CF	73	263	35	71	15	0	6	33	22	76	9	0	.270	.328	.395	.723
205	 Barton, D	OAK	1B	37	104	15	28	2	0	3	16	13	18	0	0	.269	.350	.375	.725
205	 Cervelli, F	NYY	C	17	52	12	14	3	0	3	8	8	9	0	0	.269	.377	.500	.877
207	 Longoria, E	TB	3B	160	614	91	165	39	3	32	88	70	162	1	0	.269	.343	.498	.842
208	 Pollock, A	ARI	CF	137	443	64	119	28	5	8	38	33	82	12	3	.269	.322	.409	.730
209	 Grossman, R	HOU	LF	63	257	29	69	14	0	4	21	23	70	6	7	.268	.332	.370	.702
210	 Venable, W	SD	CF	151	481	64	129	22	8	22	53	29	118	22	6	.268	.312	.484	.796
211	 Abreu, T	SF	2B	53	138	21	37	12	3	2	14	6	33	0	2	.268	.301	.442	.743
212	 Santana, C	CLE	3B	154	541	75	145	39	1	20	74	93	110	3	1	.268	.377	.455	.832
213	 Parra, G	ARI	RF	156	601	79	161	43	4	10	48	48	100	10	10	.268	.323	.403	.726
214	 Ruiz, C	PHI	C	92	310	30	83	16	0	5	37	18	39	1	0	.268	.320	.368	.688
215	 Arenado, N	COL	3B	133	486	49	130	29	4	10	52	23	72	2	0	.267	.301	.405	.706
216	 Chavez, E	SEA	RF	97	266	22	71	10	0	2	14	9	31	1	3	.267	.290	.327	.617
217	 Beckham, G	CWS	2B	103	371	46	99	22	1	5	24	28	56	5	1	.267	.322	.372	.694
218	 Tanaka, K	SF	LF	15	30	4	8	0	0	0	2	4	3	2	0	.267	.353	.267	.620
219	 Cruz, N	TEX	RF	109	413	49	110	18	0	27	76	35	109	5	1	.266	.327	.506	.833
220	 Sogard, E	OAK	2B	130	368	45	98	24	3	2	35	27	51	10	5	.266	.322	.364	.686
221	 Howard, R	PHI	1B	80	286	34	76	20	2	11	43	23	95	0	0	.266	.319	.465	.784
222	 Sweeney, R	CHC	CF	70	192	19	51	13	2	6	19	17	31	1	0	.266	.324	.448	.772
223	 Blanco, G	SF	RF	141	452	50	120	17	6	3	41	52	95	14	9	.265	.341	.350	.690
224	 Ozuna, M	MIA	CF	70	275	31	73	17	4	3	32	13	57	5	1	.265	.303	.389	.693
225	 Gordon, A	KC	LF	156	633	90	168	27	6	20	81	52	141	11	3	.265	.327	.422	.749
226	 Viciedo, D	CWS	RF	124	441	43	117	23	3	14	56	24	98	0	0	.265	.304	.426	.731
227	 Rendon, A	WSH	3B	98	351	40	93	23	1	7	35	31	69	1	1	.265	.329	.396	.725
228	 Miller, B	SEA	SS	76	306	41	81	11	6	8	36	24	52	5	3	.265	.318	.418	.737
229	 Almonte, A	SEA	CF	25	72	10	19	4	0	2	9	6	21	1	0	.264	.313	.403	.715
230	 De Aza, A	CWS	LF	153	607	84	160	27	4	17	62	50	147	20	8	.264	.323	.405	.728
231	 Upton, J	ATL	LF	149	558	94	147	27	2	27	70	75	161	8	1	.263	.354	.464	.818
232	 Schumaker, S	LAD	CF	125	319	31	84	16	0	2	30	28	54	2	2	.263	.332	.332	.665
233	 Hardy, J	BAL	SS	159	601	66	158	27	0	25	76	38	73	2	1	.263	.306	.433	.738
234	 Dickerson, C	COL	LF	69	194	32	51	13	5	5	17	16	41	2	2	.263	.316	.459	.775
235	 Bourn, M	CLE	CF	130	525	75	138	21	6	6	50	40	132	23	12	.263	.316	.360	.676
236	 Fowler, D	COL	CF	119	415	71	109	18	3	12	42	65	105	19	9	.263	.369	.407	.776
237	 Bruce, J	CIN	RF	160	626	89	164	43	1	30	109	63	185	7	3	.262	.329	.478	.807
238	 Freese, D	STL	3B	138	462	53	121	26	1	9	60	47	106	1	2	.262	.340	.381	.721
239	 Suzuki, I	NYY	RF	150	520	57	136	15	3	7	35	26	63	20	4	.262	.297	.342	.639
240	 Crisp, C	OAK	LF	131	513	93	134	22	3	22	66	61	65	21	5	.261	.335	.444	.779
241	 Campana, T	ARI	CF	29	46	10	12	0	1	0	0	8	14	8	2	.261	.370	.304	.675
241	 Semien, M	CWS	3B	21	69	7	18	4	0	2	7	1	22	2	2	.261	.268	.406	.673
243	 Phillips, B	CIN	2B	151	606	80	158	24	2	18	103	39	98	5	3	.261	.310	.396	.706
244	 Pearce, S	BAL	LF	44	119	14	31	7	0	4	13	15	25	1	0	.261	.362	.420	.782
245	 Young, D	TB	DH	103	334	30	87	16	0	11	38	20	78	0	0	.260	.307	.407	.715
246	 Martin, L	TEX	CF	147	457	66	119	21	6	8	49	28	104	36	9	.260	.313	.385	.698
247	 Seager, K	SEA	3B	160	615	79	160	32	2	22	69	68	122	9	3	.260	.338	.426	.764
248	 Polanco, P	MIA	3B	118	377	33	98	13	0	1	23	23	31	2	0	.260	.315	.302	.617
249	 Nunez, E	NYY	SS	90	304	38	79	17	4	3	28	20	51	10	3	.260	.307	.372	.679
250	 Davis, R	TOR	LF	108	331	49	86	16	2	6	24	21	67	45	6	.260	.312	.375	.687
