RK	Player	Team	Pos	G	AB	R	H	2B	3B	HR	RBI	BB	SO	SB	CS	AVG▼	OBP	SLG	OPS
701	 Lillibridge, B	NYY	3B	20	59	2	7	1	0	0	5	1	17	1	0	.119	.133	.136	.269
702	 Parrino, A	OAK	SS	14	34	2	4	2	0	0	1	2	12	0	0	.118	.167	.176	.343
703	 McDonald, J	BOS	2B	51	69	8	8	1	0	1	4	6	16	0	0	.116	.197	.174	.371
704	 Francisco, B	SD	LF	21	44	4	5	0	0	1	1	5	11	0	0	.114	.220	.182	.402
705	 Samardzija, J	CHC	P	31	62	4	7	2	0	1	2	1	31	0	0	.113	.127	.194	.321
706	 Cloyd, T	CLE	P	11	18	1	2	1	0	0	1	2	4	0	0	.111	.200	.167	.367
706	 Ottavino, A	COL	P	48	9	0	1	0	0	0	0	0	5	0	0	.111	.111	.111	.222
706	 Rodriguez, H	CIN	2B	9	9	0	1	0	0	0	0	1	4	0	0	.111	.200	.111	.311
706	 Smith, B	SD	P	8	9	0	1	0	0	0	0	1	2	0	0	.111	.200	.111	.311
706	 Weeks, J	OAK	2B	8	9	3	1	0	0	0	0	0	5	0	0	.111	.111	.111	.222
711	 Bumgarner, M	SF	P	29	56	3	6	0	0	0	4	5	30	0	0	.107	.177	.107	.285
712	 Locke, J	PIT	P	29	47	3	5	0	0	0	0	2	19	0	0	.106	.143	.106	.249
713	 Buss, N	LAD	CF	8	19	0	2	0	0	0	0	1	1	0	0	.105	.150	.105	.255
713	 Clark, C	HOU	C	16	38	1	4	1	0	0	0	1	15	0	0	.105	.128	.132	.260
713	 Ishikawa, T	CWS	1B	7	19	0	2	0	0	0	1	1	10	0	0	.105	.150	.105	.255
713	 Lincecum, T	SF	P	30	57	3	6	0	1	0	1	3	34	0	0	.105	.150	.140	.290
713	 Rusin, C	CHC	P	12	19	1	2	0	0	0	2	0	3	0	0	.105	.105	.105	.211
718	 Pettibone, J	PHI	P	17	29	4	3	1	0	0	0	3	14	0	0	.103	.188	.138	.325
719	 Butera, D	LAD	C	6	10	0	1	0	0	0	0	0	5	0	0	.100	.100	.100	.200
719	 Snyder, C	BAL	C	9	20	0	2	0	0	0	1	4	7	0	0	.100	.250	.100	.350
721	 Cain, M	SF	P	30	52	0	5	0	0	0	2	2	22	0	0	.096	.130	.096	.226
722	 Collmenter, J	ARI	P	46	11	1	1	0	0	0	0	0	5	0	0	.091	.167	.091	.258
722	 Detwiler, R	WSH	P	13	22	1	2	0	0	0	0	1	17	0	0	.091	.130	.091	.221
722	 Hand, D	MIL	P	30	11	0	1	0	0	0	0	0	3	0	0	.091	.167	.091	.258
722	 Rodriguez, W	PIT	P	13	22	0	2	0	0	0	1	0	8	0	0	.091	.091	.091	.182
726	 Gonzalez, G	WSH	P	29	56	2	5	1	0	1	1	1	16	0	0	.089	.121	.161	.281
727	 Harvey, M	NYM	P	26	58	2	5	2	0	0	2	1	27	0	0	.086	.102	.121	.222
728	 Turner, J	MIA	P	19	35	0	3	0	1	0	0	0	16	0	0	.086	.086	.143	.229
729	 Cahill, T	ARI	P	26	49	2	4	1	1	0	5	0	20	0	0	.082	.082	.143	.224
730	 Gomez, J	PIT	P	31	13	0	1	0	0	0	0	0	9	0	0	.077	.077	.077	.154
730	 Jackson, E	CHC	P	30	52	4	4	1	0	1	4	2	17	0	0	.077	.111	.154	.265
730	 Koehler, T	MIA	P	27	39	1	3	0	0	0	0	0	17	0	0	.077	.077	.077	.154
730	 Peterson, B	STL	LF	23	26	0	2	0	0	0	2	2	11	0	0	.077	.143	.077	.220
734	 Miller, S	STL	P	29	53	3	4	1	0	1	2	1	29	0	0	.075	.109	.151	.260
735	 Lynn, L	STL	P	31	54	1	4	0	0	0	2	4	30	0	0	.074	.138	.074	.212
736	 Francis, J	COL	P	22	14	0	1	1	0	0	1	2	3	0	0	.071	.222	.143	.365
737	 Vogelsong, R	SF	P	17	29	2	2	0	0	0	2	3	17	0	0	.069	.156	.069	.225
738	 Arroyo, B	CIN	P	30	59	0	4	0	0	0	0	0	26	0	0	.068	.068	.068	.136
738	 Burnett, A	PIT	P	29	59	1	4	0	0	0	2	2	33	0	0	.068	.098	.068	.166
740	 Peavy, J	BOS	P	6	15	1	1	1	0	0	0	0	0	0	0	.067	.067	.133	.200
741	 Eovaldi, N	MIA	P	18	31	1	2	0	0	0	1	1	17	0	0	.065	.094	.065	.158
742	 Liriano, F	PIT	P	23	47	0	3	0	0	0	1	4	18	0	0	.064	.137	.064	.201
743	 Erlin, R	SD	P	10	16	0	1	0	0	0	1	1	5	0	0	.063	.118	.063	.180
743	 Petit, Y	SF	P	7	16	0	1	0	0	0	2	1	5	0	0	.063	.118	.063	.180
743	 Sanabia, A	ARI	P	9	16	1	1	0	0	0	0	1	7	0	0	.063	.118	.063	.180
743	 Torres, C	NYM	P	32	16	0	1	0	0	0	1	1	8	0	0	.063	.118	.063	.180
747	 Fife, S	LAD	P	11	17	0	1	0	0	0	0	1	12	0	0	.059	.111	.059	.170
747	 Gorzelanny, T	MIL	P	40	17	0	1	0	0	0	0	0	9	0	0	.059	.059	.059	.118
747	 Liddi, A	BAL	1B	8	17	0	1	1	0	0	0	1	7	0	0	.059	.111	.118	.229
750	 Anderson, B	CWS	C	10	18	1	1	1	0	0	2	1	5	0	0	.056	.105	.111	.216
