RK	Player	Team	Pos	G	AB	R	H	2B	3B	HR	RBI	BB	SO	SB	CS	AVG▼	OBP	SLG	OPS
651	 Wong, K	STL	2B	32	59	6	9	1	0	0	0	3	12	3	0	.153	.194	.169	.363
652	 Fuentes, R	SD	CF	23	33	4	5	0	0	0	1	3	16	3	0	.152	.222	.152	.374
652	 Kelly, J	STL	P	39	33	4	5	1	0	0	2	0	8	0	0	.152	.171	.182	.353
654	 Teixeira, M	NYY	1B	15	53	5	8	1	0	3	12	8	19	0	0	.151	.270	.340	.609
655	 Baker, J	LAD	C	16	40	0	6	0	0	0	2	6	12	0	0	.150	.261	.150	.411
655	 Cueto, J	CIN	P	9	20	1	3	0	0	0	1	0	5	0	0	.150	.150	.150	.300
657	 Zito, B	SF	P	29	34	3	5	0	0	0	2	0	8	0	0	.147	.147	.147	.294
658	 Solano, J	WSH	C	24	48	2	7	2	0	0	2	2	7	0	1	.146	.180	.188	.368
659	 Lohse, K	MIL	P	30	55	2	8	0	0	0	3	1	29	0	0	.145	.161	.145	.306
660	 Cruz, L	NYY	3B	61	173	18	25	3	0	1	11	6	33	1	0	.145	.190	.179	.369
661	 Diamond, S	MIN	P	3	7	0	1	0	0	0	0	0	3	0	0	.143	.143	.143	.286
661	 Jordan, T	WSH	P	9	14	0	2	0	0	0	0	0	3	0	0	.143	.143	.143	.286
661	 Pagnozzi, M	HOU	C	9	21	1	3	0	0	0	0	1	3	0	0	.143	.182	.143	.325
661	 Peterson, S	OAK	1B	2	7	1	1	0	0	0	1	1	3	0	0	.143	.250	.143	.393
661	 Reynolds, G	CIN	P	5	7	1	1	1	0	0	0	0	4	0	0	.143	.143	.286	.429
661	 Simon, A	CIN	P	57	7	0	1	0	0	0	0	0	4	0	0	.143	.143	.143	.286
661	 Strasburg, S	WSH	P	28	49	2	7	2	0	0	2	2	23	0	0	.143	.176	.184	.360
661	 Susdorf, S	PHI	RF	3	7	1	1	1	0	0	0	0	1	0	0	.143	.143	.286	.429
661	 Wacha, M	STL	P	15	21	0	3	0	0	0	3	0	10	0	0	.143	.143	.143	.286
670	 Blanco, H	SEA	C	50	134	11	19	5	0	3	14	14	36	0	0	.142	.228	.246	.474
671	 Peralta, W	MIL	P	31	50	1	7	0	0	0	0	1	20	0	0	.140	.157	.140	.297
672	 Morton, C	PIT	P	19	36	1	5	0	0	0	1	0	11	0	0	.139	.139	.139	.278
672	 Nicasio, J	COL	P	28	36	4	5	0	0	0	3	4	20	0	0	.139	.225	.139	.364
674	 Pie, F	PIT	LF	27	29	5	4	1	0	0	2	2	13	1	2	.138	.194	.172	.366
675	 Marcum, S	NYM	P	14	22	0	3	1	0	0	0	0	5	0	0	.136	.174	.182	.356
675	 Triunfel, C	SEA	SS	17	44	1	6	1	0	0	2	0	11	0	0	.136	.152	.159	.311
677	 Maholm, P	ATL	P	23	52	2	7	2	0	0	2	1	25	0	0	.135	.151	.173	.324
678	 Arrieta, J	CHC	P	9	15	0	2	0	0	0	2	0	10	0	0	.133	.133	.133	.267
678	 Gee, D	NYM	P	30	60	0	8	0	1	0	4	3	30	0	0	.133	.175	.167	.341
678	 Miley, W	ARI	P	32	60	2	8	3	0	1	8	1	16	0	0	.133	.148	.233	.381
678	 Neal, T	CHC	LF	6	15	1	2	0	0	0	0	1	4	0	0	.133	.235	.133	.369
678	 Wheeler, Z	NYM	P	16	30	1	4	1	0	0	2	1	13	0	0	.133	.161	.167	.328
683	 Kennedy, I	SD	P	31	53	1	7	3	0	0	1	5	28	0	0	.132	.207	.189	.396
684	 Latos, M	CIN	P	31	71	3	9	2	0	0	4	1	28	0	0	.127	.139	.155	.294
685	 Wells, C	PHI	LF	52	95	6	12	2	0	0	1	7	31	0	1	.126	.186	.147	.334
686	 Beachy, B	ATL	P	5	8	1	1	0	0	0	0	1	3	0	0	.125	.222	.125	.347
686	 Beckett, J	LAD	P	7	8	0	1	0	0	0	0	1	3	0	0	.125	.222	.125	.347
686	 Burgos, H	MIL	P	6	8	0	1	0	0	0	0	0	6	0	0	.125	.125	.125	.250
686	 Kendrick, K	PHI	P	32	56	1	7	1	1	0	2	1	20	0	0	.125	.155	.179	.334
686	 Lalli, B	ARI	C	16	24	1	3	0	0	0	2	0	7	0	0	.125	.125	.125	.250
686	 Marrero, C	WSH	1B	8	16	0	2	0	0	0	1	0	4	0	0	.125	.125	.125	.250
686	 Monell, J	SF	C	8	8	2	1	0	0	0	1	0	3	0	0	.125	.222	.125	.347
686	 Perez, E	WSH	CF	9	8	1	1	0	0	0	0	0	3	1	0	.125	.125	.125	.250
686	 Prince, J	MIL	CF	8	8	3	1	1	0	0	0	1	1	0	0	.125	.222	.250	.472
686	 Wilson, C	LAA	P	4	8	1	1	0	0	0	0	1	5	0	0	.125	.222	.125	.347
696	 Corbin, P	ARI	P	31	65	8	8	4	0	0	3	2	23	0	0	.123	.162	.185	.346
696	 Zimmermann, J	WSH	P	29	65	4	8	1	0	0	2	1	20	0	0	.123	.134	.138	.273
698	 Nolasco, R	LAD	P	31	50	3	6	2	0	0	1	6	24	0	0	.120	.214	.160	.374
699	 Marquis, J	SD	P	20	42	0	5	1	0	0	2	0	12	0	0	.119	.119	.143	.262
699	 Volquez, E	LAD	P	30	42	4	5	1	0	1	4	1	23	0	0	.119	.140	.214	.354
