RK	Player	Team	Pos	G	AB	R	H	2B	3B	HR	RBI	BB	SO	SB	CS	AVG▼	OBP	SLG	OPS
51	 Cano, R	NYY	2B	160	605	81	190	41	0	27	107	65	85	7	1	.314	.383	.516	.899
52	 Tulowitzki, T	COL	SS	126	446	72	139	27	0	25	82	57	85	1	0	.312	.391	.540	.931
53	 Blackmon, C	COL	CF	82	246	35	76	17	2	6	22	7	49	7	0	.309	.336	.467	.803
54	 Ortiz, D	BOS	DH	137	518	84	160	38	2	30	103	76	88	4	0	.309	.395	.564	.959
55	 Rupp, C	PHI	C	4	13	1	4	1	0	0	2	1	4	0	0	.308	.357	.385	.742
56	 Wright, D	NYM	3B	112	430	63	132	23	6	18	58	55	79	17	3	.307	.390	.514	.904
57	 Revere, B	PHI	LF	88	315	37	96	9	3	0	17	16	36	22	8	.305	.338	.352	.691
58	 Votto, J	CIN	1B	162	581	101	177	30	3	24	73	135	138	6	3	.305	.435	.491	.926
59	 Valencia, D	BAL	DH	52	161	20	49	14	1	8	23	8	33	0	2	.304	.335	.553	.888
60	 Hunter, T	DET	RF	144	606	90	184	37	5	17	84	26	113	3	2	.304	.334	.465	.800
61	 Nava, D	BOS	RF	134	458	77	139	29	0	12	66	51	93	0	2	.303	.385	.445	.831
62	 Peralta, J	DET	SS	107	409	50	124	30	0	11	55	35	98	3	3	.303	.358	.457	.815
63	 Iglesias, J	DET	SS	109	350	39	106	16	2	3	29	15	60	5	2	.303	.349	.386	.735
64	 Goldschmidt, P	ARI	1B	160	602	103	182	36	3	36	125	99	145	15	7	.302	.401	.551	.952
65	 McDonald, D	CHC	RF	25	53	4	16	4	0	1	5	4	8	0	0	.302	.351	.434	.785
66	 Gonzalez, C	COL	LF	110	391	72	118	23	6	26	70	41	118	21	3	.302	.367	.591	.958
67	 Hosmer, E	KC	1B	159	623	86	188	34	3	17	79	51	100	11	4	.302	.353	.448	.801
68	 Pedroia, D	BOS	2B	160	641	91	193	42	2	9	84	73	75	17	5	.301	.372	.415	.787
69	 Martinez, V	DET	DH	159	605	68	182	36	0	14	83	54	62	0	2	.301	.355	.430	.785
70	 Donaldson, J	OAK	3B	158	579	89	174	37	3	24	93	76	110	5	2	.301	.384	.499	.883
71	 Alvarez, H	MIA	P	17	30	2	9	3	0	1	6	0	12	0	0	.300	.290	.500	.790
71	 Centeno, J	NYM	C	4	10	0	3	0	0	0	1	0	1	0	0	.300	.300	.300	.600
71	 Chatwood, T	COL	P	26	40	3	12	1	0	0	7	2	8	0	0	.300	.333	.325	.658
71	 Holliday, M	STL	LF	141	520	103	156	31	1	22	94	69	86	6	1	.300	.389	.490	.879
71	 Lutz, Z	NYM	3B	15	20	2	6	2	0	0	2	6	6	0	0	.300	.462	.400	.862
71	 Moore, A	KC	C	5	10	1	3	1	0	0	0	1	2	1	0	.300	.364	.400	.764
71	 Navarro, D	CHC	C	89	240	31	72	7	0	13	34	23	36	0	1	.300	.365	.492	.856
71	 Pastornicky, T	ATL	2B	20	30	5	9	1	0	0	0	1	5	0	0	.300	.323	.333	.656
79	 Loney, J	TB	1B	158	549	54	164	33	0	13	75	44	77	3	1	.299	.348	.430	.778
80	 Lavarnway, R	BOS	C	25	77	8	23	7	0	1	14	2	17	0	0	.299	.329	.429	.758
81	 Ellsbury, J	BOS	CF	134	577	92	172	31	8	9	53	47	92	52	4	.298	.355	.426	.781
82	 Braun, R	MIL	RF	61	225	30	67	14	2	9	38	27	56	4	5	.298	.372	.498	.869
83	 Nieves, W	ARI	C	71	195	16	58	11	0	1	22	8	32	0	0	.297	.320	.369	.690
84	 Scutaro, M	SF	2B	127	488	57	145	23	3	2	31	45	34	2	0	.297	.357	.369	.726
85	 Kendrick, H	LAA	2B	122	478	55	142	21	4	13	54	23	89	6	3	.297	.335	.439	.775
86	 Pena, B	DET	C	71	229	19	68	11	0	4	22	6	26	0	2	.297	.315	.397	.713
87	 Carp, M	BOS	1B	86	216	34	64	18	2	9	43	22	67	1	0	.296	.362	.523	.885
87	 Holaday, B	DET	C	16	27	8	8	1	0	1	2	2	3	0	0	.296	.367	.444	.811
89	 Beltran, C	STL	RF	145	554	79	164	30	3	24	84	38	90	2	1	.296	.339	.491	.830
90	 Reyes, J	TOR	SS	93	382	58	113	20	0	10	37	34	47	15	6	.296	.353	.427	.780
91	 Posey, B	SF	C	148	520	61	153	34	1	15	72	60	70	2	1	.294	.371	.450	.821
92	 Segura, J	MIL	SS	146	588	74	173	20	10	12	49	25	84	44	13	.294	.329	.423	.752
93	 Gomes, Y	CLE	C	88	293	45	86	18	2	11	38	18	67	2	0	.294	.345	.481	.826
94	 Victorino, S	BOS	RF	122	477	82	140	26	2	15	61	25	75	21	3	.294	.351	.451	.801
95	 Gonzalez, A	LAD	1B	157	583	69	171	32	0	22	100	47	98	1	0	.293	.342	.461	.803
96	 Culberson, C	COL	2B	47	99	12	29	5	0	2	12	4	23	5	1	.293	.317	.404	.721
97	 Shuck, J	LAA	LF	129	437	60	128	20	3	2	39	27	54	8	4	.293	.331	.366	.697
98	 Myers, W	TB	RF	88	335	50	98	23	0	13	53	33	91	5	2	.293	.354	.478	.831
99	 Perez, S	KC	C	138	496	48	145	25	3	13	79	21	63	0	0	.292	.323	.433	.757
100	 Herrera, J	COL	SS	81	195	16	57	7	2	1	16	14	24	3	2	.292	.336	.364	.701
