RK	Player	Team	Pos	G	AB	R	H	2B	3B	HR	RBI	BB	SO	SB	CS	AVG▼	OBP	SLG	OPS
351	 Gattis, E	ATL	C	105	354	44	86	21	0	21	65	21	81	0	0	.243	.291	.480	.771
352	 Blanks, K	SD	RF	88	280	31	68	14	0	8	35	21	85	1	1	.243	.305	.379	.684
352	 Bonifacio, E	KC	2B	136	420	54	102	22	3	3	31	30	103	28	8	.243	.295	.331	.625
352	 Villar, J	HOU	SS	58	210	26	51	9	2	1	8	24	71	18	8	.243	.321	.319	.640
355	 Cedeno, R	SD	SS	89	264	24	64	8	3	3	21	14	73	5	4	.242	.287	.330	.617
355	 Gindl, C	MIL	LF	57	132	17	32	7	2	5	14	20	25	2	1	.242	.340	.439	.779
357	 Lagares, J	NYM	CF	121	392	35	95	21	5	4	34	20	96	6	3	.242	.281	.352	.633
358	 Morrison, L	MIA	1B	85	293	32	71	13	4	6	36	38	56	0	0	.242	.333	.375	.709
359	 Ibanez, R	SEA	LF	124	454	54	110	20	2	29	65	42	128	0	0	.242	.306	.487	.793
360	 Berkman, L	TEX	DH	73	256	27	62	10	1	6	34	38	52	0	0	.242	.340	.359	.700
361	 Cabrera, A	CLE	SS	136	508	66	123	35	2	14	64	35	114	9	3	.242	.299	.402	.700
362	 Elmore, J	HOU	SS	52	120	16	29	4	0	2	6	13	20	1	6	.242	.313	.325	.638
363	 Pennington, C	ARI	SS	96	269	25	65	13	1	1	18	26	54	2	0	.242	.310	.309	.618
364	 Lutz, D	CIN	LF	34	58	5	14	1	0	1	8	1	14	2	0	.241	.254	.310	.565
365	 Dominguez, M	HOU	3B	152	543	56	131	25	0	21	77	30	96	0	1	.241	.286	.403	.690
366	 Scott, L	TB	DH	91	253	27	61	13	2	9	40	30	63	1	1	.241	.326	.415	.741
367	 Overbay, L	NYY	1B	142	445	43	107	24	1	14	59	36	111	2	0	.240	.295	.393	.688
368	 Ludwick, R	CIN	LF	38	129	7	31	5	0	2	12	10	29	0	0	.240	.293	.326	.618
368	 Van Slyke, S	LAD	LF	53	129	13	31	8	0	7	19	20	37	1	1	.240	.342	.465	.807
370	 Torrealba, Y	COL	C	61	179	10	43	8	0	0	16	13	24	0	0	.240	.295	.285	.580
371	 Barnes, B	HOU	CF	136	408	46	98	17	1	8	41	21	127	11	11	.240	.289	.346	.635
372	 Cespedes, Y	OAK	LF	135	529	74	127	21	4	26	80	37	137	7	7	.240	.294	.442	.737
373	 Sappelt, D	CHC	CF	31	75	6	18	3	0	0	4	3	14	3	1	.240	.269	.280	.549
374	 Pacheco, J	COL	1B	95	247	23	59	15	0	1	22	10	38	0	0	.239	.276	.312	.588
375	 Ellis, A	LAD	C	115	390	43	93	17	1	10	52	45	78	0	2	.238	.318	.364	.682
376	 Mesoraco, D	CIN	C	103	323	31	77	13	0	9	42	24	61	0	2	.238	.287	.362	.649
377	 Dickerson, C	BAL	LF	56	105	17	25	5	0	4	13	4	36	5	1	.238	.266	.400	.666
378	 Smoak, J	SEA	1B	131	454	53	108	19	0	20	50	64	119	0	0	.238	.334	.412	.746
379	 Descalso, D	STL	SS	123	328	43	78	25	1	5	43	22	56	6	3	.238	.290	.366	.656
380	 Halton, S	MIL	1B	42	101	9	24	4	0	4	17	5	31	0	0	.238	.291	.396	.687
381	 Bianchi, J	MIL	SS	100	236	22	56	8	1	1	25	11	46	4	4	.237	.272	.292	.564
382	 Davidson, M	ARI	3B	31	76	8	18	6	0	3	12	10	24	0	1	.237	.333	.434	.768
383	 LaRoche, A	WSH	1B	152	511	70	121	19	3	20	62	72	131	4	1	.237	.332	.403	.735
384	 Quintero, H	SEA	C	46	131	8	31	5	0	4	13	6	30	0	0	.237	.275	.366	.642
385	 Heisey, C	CIN	LF	87	224	29	53	11	1	9	23	9	51	3	0	.237	.279	.415	.694
386	 Saunders, M	SEA	RF	132	406	59	96	23	3	12	46	54	118	13	5	.236	.323	.397	.720
387	 Amarista, A	SD	SS	146	368	35	87	14	4	5	32	22	57	4	2	.236	.282	.337	.619
388	 Escobar, E	MIN	SS	66	165	23	39	5	2	3	10	11	34	0	2	.236	.282	.345	.628
388	 Green, N	MIA	2B	18	55	4	13	2	0	1	6	3	14	0	0	.236	.302	.327	.629
390	 Nix, J	NYY	SS	87	267	32	63	9	1	3	24	24	80	13	1	.236	.308	.311	.619
391	 Almonte, Z	NYY	LF	34	106	9	25	4	0	1	9	6	19	3	1	.236	.274	.302	.576
392	 Izturis, M	TOR	2B	107	365	33	86	12	0	5	32	27	38	1	5	.236	.288	.310	.597
393	 DeRosa, M	TOR	2B	88	204	23	48	12	1	7	36	28	49	0	0	.235	.326	.407	.733
394	 Wieters, M	BAL	C	148	523	59	123	29	0	22	79	43	104	2	0	.235	.287	.417	.704
395	 Rutledge, J	COL	2B	88	285	45	67	6	1	7	19	22	62	12	0	.235	.294	.337	.630
396	 Johnson, K	TB	LF	118	366	41	86	12	2	16	52	35	99	7	4	.235	.305	.410	.715
397	 Joyce, M	TB	LF	140	413	61	97	22	0	18	47	59	87	7	3	.235	.328	.419	.747
398	 Asche, C	PHI	3B	50	162	18	38	8	1	5	22	15	43	1	0	.235	.302	.389	.691
399	 Wise, D	CWS	CF	30	64	6	15	3	0	1	3	2	14	1	1	.234	.258	.328	.586
400	 Profar, J	TEX	2B	85	286	30	67	11	0	6	26	26	63	2	4	.234	.308	.336	.644
