 Carson, M	CLE	RF	20	11	5	7	0	0	1	3	1	1	3	0	.636	.692	.909	1.601	
 Berry, Q	BOS	LF	13	8	5	5	0	0	1	4	1	2	3	0	.625	.667	1.000	1.667	
 Beckham, T	TB	2B	5	7	1	3	0	0	0	1	0	0	0	0	.429	.375	.429	.804	
 Fryer, E	MIN	C	6	13	2	5	1	0	1	4	3	3	0	0	.385	.500	.692	1.192	
 Mesa, M	NYY	CF	5	13	2	5	2	0	0	1	1	2	0	1	.385	.429	.538	.967	
 Walters, Z	WSH	SS	8	8	2	3	0	1	0	1	1	0	0	0	.375	.444	.625	1.069	
 Hamilton, B	CIN	CF	13	19	9	7	2	0	0	1	2	4	13	1	.368	.429	.474	.902	
 Cabrera, M	DET	1B	148	555	103	193	26	1	44	137	90	94	3	0	.348	.442	.636	1.078	
 Ramirez, H	LAD	SS	86	304	62	105	25	2	20	57	27	52	10	2	.345	.402	.638	1.040	
 Pinto, J	MIN	C	21	76	10	26	5	0	4	12	6	22	0	0	.342	.398	.566	.963	
 Butler, J	STL	RF	8	12	3	4	2	0	0	1	3	6	0	0	.333	.467	.500	.967	
 DeWitt, B	ATL	3B	4	3	0	1	1	0	0	0	0	0	0	0	.333	.333	.667	1.000	
 Gimenez, C	TB	C	4	3	0	1	1	0	0	0	1	1	0	0	.333	.500	.667	1.167	
 Gosselin, P	ATL	2B	4	6	2	2	0	0	0	0	1	2	0	0	.333	.429	.333	.762	
 Peguero, C	SEA	RF	2	6	1	2	0	0	1	1	1	2	1	0	.333	.429	.833	1.262	
 Ramirez, J	CLE	2B	15	12	5	4	0	1	0	0	2	2	0	1	.333	.429	.500	.929	
 Cuddyer, M	COL	RF	130	489	74	162	31	3	20	84	46	100	10	3	.331	.389	.530	.919	
 Gennett, S	MIL	2B	69	213	29	69	11	2	6	21	10	42	2	1	.324	.356	.479	.834	
 Mauer, J	MIN	1B	113	445	62	144	35	0	11	47	61	89	0	1	.324	.404	.476	.880	
 Trout, M	LAA	CF	157	589	109	190	39	9	27	97	110	136	33	7	.323	.432	.557	.988	
 Johnson, C	ATL	3B	142	514	54	165	34	0	12	68	29	116	0	0	.321	.358	.457	.816	
 Freeman, F	ATL	1B	147	551	89	176	27	2	23	109	66	121	1	0	.319	.396	.501	.897	
 Puig, Y	LAD	RF	104	382	66	122	21	2	19	42	36	97	11	8	.319	.391	.534	.925	
 Molina, Y	STL	C	136	505	68	161	44	0	12	80	30	55	3	2	.319	.359	.477	.836	
 Werth, J	WSH	RF	129	462	84	147	24	0	25	82	60	101	10	1	.318	.398	.532	.931	
 Carpenter, M	STL	3B	157	626	126	199	55	7	11	78	72	98	3	3	.318	.392	.481	.873	
 Infante, O	DET	2B	118	453	54	144	24	3	10	51	20	44	5	2	.318	.345	.450	.795	
 McCutchen, A	PIT	CF	157	583	97	185	38	5	21	84	78	101	27	10	.317	.404	.508	.911	
 Bloomquist, W	ARI	2B	48	139	16	44	5	1	0	14	8	11	0	2	.317	.360	.367	.727	
 Beltre, A	TEX	3B	161	631	88	199	32	0	30	92	50	78	1	0	.315	.371	.509	.880	
 Craig, A	STL	RF	134	508	71	160	29	2	13	97	40	100	2	0	.315	.373	.457	.830	
 Cano, R	NYY	2B	160	605	81	190	41	0	27	107	65	85	7	1	.314	.383	.516	.899	
 Tulowitzki, T	COL	SS	126	446	72	139	27	0	25	82	57	85	1	0	.312	.391	.540	.931	
 Blackmon, C	COL	CF	82	246	35	76	17	2	6	22	7	49	7	0	.309	.336	.467	.803	
 Ortiz, D	BOS	DH	137	518	84	160	38	2	30	103	76	88	4	0	.309	.395	.564	.959	
 Rupp, C	PHI	C	4	13	1	4	1	0	0	2	1	4	0	0	.308	.357	.385	.742	
 Wright, D	NYM	3B	112	430	63	132	23	6	18	58	55	79	17	3	.307	.390	.514	.904	
 Revere, B	PHI	LF	88	315	37	96	9	3	0	17	16	36	22	8	.305	.338	.352	.691	
 Votto, J	CIN	1B	162	581	101	177	30	3	24	73	135	138	6	3	.305	.435	.491	.926	
 Valencia, D	BAL	DH	52	161	20	49	14	1	8	23	8	33	0	2	.304	.335	.553	.888	
 Hunter, T	DET	RF	144	606	90	184	37	5	17	84	26	113	3	2	.304	.334	.465	.800	
 Nava, D	BOS	RF	134	458	77	139	29	0	12	66	51	93	0	2	.303	.385	.445	.831	
 Peralta, J	DET	SS	107	409	50	124	30	0	11	55	35	98	3	3	.303	.358	.457	.815	
 Iglesias, J	DET	SS	109	350	39	106	16	2	3	29	15	60	5	2	.303	.349	.386	.735	
 Goldschmidt, P	ARI	1B	160	602	103	182	36	3	36	125	99	145	15	7	.302	.401	.551	.952	
 McDonald, D	CHC	RF	25	53	4	16	4	0	1	5	4	8	0	0	.302	.351	.434	.785	
 Gonzalez, C	COL	LF	110	391	72	118	23	6	26	70	41	118	21	3	.302	.367	.591	.958	
 Hosmer, E	KC	1B	159	623	86	188	34	3	17	79	51	100	11	4	.302	.353	.448	.801	
 Pedroia, D	BOS	2B	160	641	91	193	42	2	9	84	73	75	17	5	.301	.372	.415	.787	
 Martinez, V	DET	DH	159	605	68	182	36	0	14	83	54	62	0	2	.301	.355	.430	.785	
 Donaldson, J	OAK	3B	158	579	89	174	37	3	24	93	76	110	5	2	.301	.384	.499	.883	
 Centeno, J	NYM	C	4	10	0	3	0	0	0	1	0	1	0	0	.300	.300	.300	.600	
 Holliday, M	STL	LF	141	520	103	156	31	1	22	94	69	86	6	1	.300	.389	.490	.879	
